time_betw_scan_hours,CA,YM,Class,cluster normalized - 5 clusters,2/1 mM Glu/Lac [mM],1 mM H2O2 [mM],40/25 mM glu/lac høj O2,Sensitivity [pA/µM],t on 10/5 mM glu/lac [s],Lav O2 - Høj O2
0.062,0.537,0.435,1.000,1.000,0.200,0.123,0.561,0.385,0.049,0.080
0.075,0.536,0.234,1.000,1.000,0.108,0.035,0.481,0.158,0.049,0.056
0.096,0.460,0.341,1.000,3.000,0.173,0.088,0.435,0.393,0.060,0.179
0.213,0.280,0.259,1.000,1.000,0.097,0.018,0.217,0.040,0.011,0.181
0.097,0.554,0.417,1.000,1.000,0.184,0.474,0.579,0.080,0.044,0.005
0.143,0.543,0.473,1.000,1.000,0.205,0.140,0.464,0.144,0.055,0.056
0.198,0.583,0.548,1.000,1.000,0.173,0.263,0.470,0.333,0.022,0.070
0.084,0.759,0.575,1.000,1.000,0.146,0.018,0.419,0.126,0.109,0.088
0.079,0.385,0.563,1.000,1.000,0.184,0.140,0.537,0.065,0.038,0.203
0.267,0.546,0.278,1.000,1.000,0.130,0.228,0.489,0.264,0.038,0.131
0.253,0.696,0.318,1.000,1.000,0.092,0.035,0.469,0.031,0.027,0.151
0.084,0.559,0.431,1.000,2.000,0.146,0.526,0.498,0.209,0.022,0.047
0.898,0.642,0.260,1.000,1.000,0.103,0.035,0.485,0.057,0.016,0.286
0.157,0.510,0.403,1.000,1.000,0.092,0.070,0.440,0.043,0.082,0.380
0.262,0.702,0.380,1.000,1.000,0.151,0.070,0.519,0.237,0.066,0.100
0.073,0.593,0.334,1.000,1.000,0.092,0.246,0.406,0.239,0.022,0.051
0.263,0.654,0.350,1.000,1.000,0.135,0.070,0.504,0.147,0.000,0.093
0.082,0.326,0.539,1.000,1.000,0.168,0.333,0.529,0.286,0.016,0.037
0.081,0.461,0.393,1.000,1.000,0.184,0.281,0.525,0.011,0.098,0.023
0.066,0.656,0.708,1.000,1.000,0.141,0.018,0.436,0.106,0.077,0.056
