bcr_dir,RunNumberPartNumberID,RunNumber,PartNumber,ca_time,ym_time,Sensor,BoardNumber,ArrayNumber,time_betw_scan_min,CA,CA Humidity,CA Temperature,YM,YM Humidity,YM Temperature,CA_cav_dia,CA_void_cav,CA_cav_depth,Ca_void_mem,CA_overlap_min,CA_overlap_max,YM_void_mem,Class,Tid efter start [timer],2/1 mM Glu/Lac [mM],1 mM H2O2 [mM],40/25 mM glu/lac hoj O2,40/25 mM glu/lac lav O2,Sensitivity [pA/M],t on 10/5 mM glu/lac [s],Lav O2 - Hoj O2,Tid i min Glu,50 mM Mannose,35 mM Glycolsyre,2 mM PAM
,27520,R29209,932-029,01-04-2021 12:02,06-04-2021 04:22,Glu,8,15,6455,2.484,34.52,26.47,6.211,27.98,26.61,1172.24,25.591,58.039,30.256,131.24,209.984,31.565,Approved,22.53,2.05,10.9,40.78,40.03,296,6.5,-0.75,40,8.51,-0.02,0.01
,28137,R29573,932-029,26-04-2021 22:56,28-04-2021 04:38,Glu,1,8,2631,2.455,33.16,27.05,6.714,29.26,26.06,1161.79,25.687,61.256,29.889,141.739,178.486,32.697,Approved,20.23,1.93,11.3,41.07,40.45,281,5.5,-0.62,32,6.06,-0.42,-0.11
,27602,R29236,932-029,07-04-2021 00:12,08-04-2021 17:34,Glu,1,1,2279,2.837,35.35,24.93,6.118,28.84,26.22,1160.59,22.727,60.367,27.081,110.241,204.734,29.51,Approved,22.32,1.99,11.0,41.34,40.95,403,6.2,-0.39,32,9.02,-0.02,-0.03
,28196,R29596,932-029,27-04-2021 02:24,28-04-2021 17:10,Glu,1,13,2240,2.67,32.47,27.56,6.325,28.15,26.56,1168.22,21.494,60.586,31.671,126.131,204.962,30.733,Approved,24.68,2.09,11.5,41.01,41.34,316,6.5,0.33,36,5.91,-0.21,-0.08
,28411,R29722,932-029,04-05-2021 05:38,05-05-2021 13:50,Glu,1,13,508,2.407,33.8,27.32,5.711,30.07,25.57,1177.43,23.679,60.27,27.936,115.491,183.736,30.556,Approved,22.45,2.02,10.0,40.76,39.07,904,6.1,-1.69,21,7.44,-0.04,0.02
,28388,R29699,932-029,03-05-2021 09:46,03-05-2021 23:56,Glu,8,9,624,2.237,30.54,27.19,6.199,27.78,26.72,1180.53,19.974,60.933,29.194,120.875,162.919,29.235,Approved,21.77,2.04,11.5,39.86,39.12,708,6.1,-0.74,21,8.4,-0.01,0.08
,28278,R29641,932-029,27-04-2021 18:48,28-04-2021 08:40,Glu,2,6,2421,2.574,32.74,25.71,6.494,28.23,26.35,1176.87,26.188,56.988,33.03,131.926,189.973,35.223,Approved,22.42,1.87,9.9,40.55,40.02,362,6.5,-0.53,32,6.44,-0.33,-0.07
,28196,R29596,932-029,27-04-2021 02:44,28-04-2021 17:38,Glu,8,14,2223,2.624,34.39,26.06,6.231,28.27,26.31,1166.78,20.443,56.739,30.302,141.897,204.962,29.823,Approved,24.78,2.05,11.2,40.96,40.15,335,6.9,-0.81,32,6.8,-0.26,-0.07
,28389,R29700,932-029,02-05-2021 11:52,04-05-2021 22:32,Glu,2,3,2676,2.465,29.23,26.81,5.741,27.85,26.81,1161.56,21.031,61.387,30.589,89.343,204.962,30.041,Approved,24.92,2.04,9.6,41.02,40.56,709,5.6,-0.46,21,6.1,-0.14,-0.02
,27466,R29175,932-029,31-03-2021 14:30,01-04-2021 10:44,Glu,1,16,1096,2.538,30.08,26.58,5.989,28.3,26.42,1181.18,24.495,63.489,28.58,131.24,209.984,29.16,Approved,22.63,2.03,11.7,40.69,39.99,225,6.6,-0.7,66,8.28,-0.66,-0.28
,28347,R29692,932-029,02-05-2021 14:46,04-05-2021 07:48,Glu,8,5,2137,2.482,31.83,25.76,6.388,28.89,26.08,1164.09,24.999,58.85,31.544,105.541,205.804,34.769,Approved,21.73,2.08,12.3,40.05,39.3,492,6.7,-0.75,21,10.84,0.0,0.06
,28127,R29563,932-029,22-04-2021 14:32,23-04-2021 09:00,Glu,2,12,997,2.296,33.9,26.29,6.212,30.64,26.73,1185.52,22.789,57.823,27.091,120.741,178.486,30.71,Approved,22.88,1.94,10.6,40.94,40.71,771,5.1,-0.23,21,8.23,-0.36,-0.07
,27696,R29279,932-029,08-04-2021 11:18,09-04-2021 12:42,Glu,2,10,883,2.016,30.66,26.54,5.879,28.57,26.33,1180.6,22.813,61.623,30.686,105.503,211.005,28.072,Approved,22.15,2.07,11.5,40.68,40.02,529,6.0,-0.66,31,4.24,-0.1,0.03
,27291,R29074,932-029,25-03-2021 04:12,25-03-2021 22:16,Glu,8,1,1435,2.444,31.9,26.45,6.514,28.52,25.75,1201.39,22.102,58.384,30.073,110.778,211.005,28.487,Approved,23.43,2.0,11.7,40.78,40.22,226,9.0,-0.56,75,10.34,-0.14,-0.04
,27033,R28948,932-029,18-03-2021 11:12,29-03-2021 18:08,Glu,7,2,13814,2.383,31.63,26.43,5.692,28.23,26.33,1183.4,23.557,57.161,27.348,104.992,173.236,27.305,Approved,19.73,2.0,11.0,40.79,40.65,275,5.7,-0.14,36,11.86,-0.46,-0.13
,28030,R29486,932-029,21-04-2021 23:56,22-04-2021 17:38,Glu,8,16,1111,2.556,29.58,27.11,6.391,28.76,26.06,1166.39,24.527,57.722,31.135,100.264,174.142,33.734,Approved,22.85,1.93,10.7,40.5,40.14,308,6.2,-0.36,35,6.77,-0.51,-0.06
,27672,R29255,932-029,08-04-2021 10:30,09-04-2021 00:16,Glu,2,7,1314,1.907,33.8,25.18,5.823,27.12,27.04,1155.12,24.121,64.493,30.456,126.649,205.804,33.476,Approved,22.35,2.04,11.3,41.05,40.49,615,5.0,-0.56,20,10.3,-0.05,0.09
,27305,R29088,932-029,29-03-2021 17:24,30-03-2021 18:52,Glu,1,16,828,2.483,31.36,27.32,5.941,29.21,25.8,1171.24,20.347,62.401,29.657,110.364,178.685,28.312,Approved,19.62,2.07,9.9,40.05,38.4,319,7.3,-1.65,32,10.12,-0.31,-0.08
,27077,R28977,932-029,21-03-2021 08:22,22-03-2021 13:22,Glu,6,9,996,2.7,27.09,27.56,5.812,30.71,25.13,1166.58,23.711,74.552,28.761,120.741,188.985,30.018,Approved,22.22,2.01,10.1,41.4,41.03,596,5.4,-0.37,21,8.71,-0.17,-0.04
,28190,R29590,932-029,26-04-2021 16:04,27-04-2021 08:34,Glu,8,8,1116,2.28,31.04,27.46,5.696,28.4,25.98,1178.64,24.888,56.627,28.661,136.489,204.734,31.741,Approved,18.9,2.04,9.9,40.75,39.55,700,5.4,-1.2,21,9.86,-0.13,0.01
,27684,R29267,932-029,07-04-2021 23:46,08-04-2021 16:30,Glu,8,4,1363,2.461,30.57,27.18,5.788,28.92,26.05,1160.07,20.645,58.719,29.941,126.131,204.962,29.539,Approved,22.33,1.99,10.6,40.58,40.12,337,6.5,-0.46,21,9.49,-0.07,0.01
,27967,R29442,932-029,19-04-2021 20:54,20-04-2021 18:44,Glu,1,10,786,2.34,32.56,25.8,6.12,28.32,26.21,1169.54,22.564,60.174,28.293,110.818,163.588,30.782,Approved,21.88,2.01,10.7,40.04,40.13,494,5.6,0.09,21,11.35,-0.5,0.03
,27061,R28961,932-029,22-03-2021 17:12,23-03-2021 07:16,Glu,3,16,535,2.517,26.99,29.0,5.532,28.72,26.58,1165.91,22.8,60.489,27.999,84.432,168.865,30.811,Approved,22.13,2.09,9.7,39.09,36.9,622,5.8,-2.19,21,10.79,-0.25,-0.05
,28389,R29700,932-029,02-05-2021 12:10,04-05-2021 22:58,Glu,8,16,2677,2.761,29.36,26.88,6.263,28.05,26.68,1189.77,20.286,60.261,29.9,99.853,210.218,29.042,Approved,24.92,2.06,10.0,40.09,39.63,463,7.0,-0.46,30,6.91,-0.17,-0.06
,27266,R29067,932-029,24-03-2021 11:46,26-03-2021 08:08,Glu,8,15,2276,2.473,32.94,25.66,6.166,27.8,27.04,1166.36,22.16,62.148,32.145,126.131,199.707,30.567,Approved,22.35,2.09,11.3,40.89,39.48,387,8.4,-1.41,32,10.07,-0.2,-0.02
,27512,R29201,932-029,06-04-2021 02:56,07-04-2021 08:58,Glu,8,3,2938,2.587,30.17,27.62,6.165,28.1,26.52,1165.55,25.278,57.458,31.835,94.987,153.034,34.798,Approved,22.32,2.2,10.1,38.73,36.82,609,7.4,-1.91,21,12.06,-0.01,0.08
,27781,R29346,932-029,13-04-2021 17:10,14-04-2021 19:38,Glu,2,11,2394,2.544,35.06,26.51,6.197,27.73,26.86,1177.82,24.975,58.826,31.342,126.649,179.419,34.096,Approved,22.35,2.0,11.6,40.98,40.12,565,6.1,-0.86,21,8.85,-0.08,-0.03
,27428,R29156,932-029,31-03-2021 16:04,07-04-2021 08:18,Glu,8,9,2731,2.691,29.41,27.42,5.237,27.19,26.68,1166.83,22.049,57.097,26.53,115.491,199.484,29.797,Approved,17.27,2.08,10.1,41.12,40.62,397,4.8,-0.5,21,12.75,-0.32,-0.03
,28213,R29612,932-029,27-04-2021 03:18,29-04-2021 00:06,Glu,2,7,616,2.516,34.84,25.92,6.17,27.28,26.47,1172.84,26.87,61.378,30.946,131.24,209.984,33.3,Approved,18.85,2.06,10.3,40.86,39.96,624,5.0,-0.9,20,6.15,-0.09,0.01
,28288,R29651,932-029,29-04-2021 02:04,04-05-2021 18:22,Glu,8,15,4984,2.144,32.0,27.21,6.517,27.49,26.63,1185.71,23.035,60.126,31.318,94.952,211.005,32.076,Approved,21.8,2.04,11.4,40.12,39.07,473,9.2,-1.05,32,8.95,-0.05,0.03
,28022,R29478,932-029,21-04-2021 04:32,22-04-2021 07:32,Glu,1,10,1420,2.305,33.45,25.69,5.603,28.5,26.33,1177.46,23.907,60.693,30.116,105.541,168.865,32.029,Approved,22.12,2.0,10.3,41.03,40.74,591,4.3,-0.29,21,7.77,-0.07,-0.01
,28229,R29628,932-029,27-04-2021 11:52,28-04-2021 22:22,Glu,3,6,1777,2.172,33.01,26.08,6.21,27.24,26.81,1169.91,27.621,55.356,31.938,120.741,167.987,35.135,Approved,22.45,2.01,9.0,40.08,39.7,687,4.5,-0.38,21,7.68,-0.23,-0.01
,28433,R29726,932-029,04-05-2021 23:34,05-05-2021 23:48,Glu,1,3,619,2.206,33.31,25.64,6.011,27.41,26.31,1179.12,24.656,60.036,30.22,104.992,209.984,32.132,Approved,22.37,2.0,10.6,41.48,40.39,804,4.8,-1.09,22,7.81,-0.09,0.01
,27522,R29211,932-029,05-04-2021 23:32,06-04-2021 22:40,Glu,2,1,1948,3.1,28.32,27.49,6.522,28.18,26.52,1166.26,19.386,56.79,30.117,110.364,204.962,29.132,Approved,17.03,2.06,12.1,40.76,40.1,454,6.6,-0.66,32,2.1,-0.27,-0.02
,27316,R29099,932-029,28-03-2021 11:56,01-04-2021 14:58,Glu,2,1,891,2.326,29.34,26.72,5.686,28.84,26.22,1184.59,21.197,61.636,29.333,121.328,211.005,27.789,Approved,22.68,2.05,10.8,40.54,39.71,797,5.2,-0.83,21,9.34,-0.03,0.04
,27162,R28999,932-029,22-03-2021 12:02,23-03-2021 03:20,Glu,8,4,497,2.331,27.41,28.11,6.53,27.65,26.75,1177.75,24.223,59.807,28.519,120.741,209.984,31.139,Approved,22.18,2.02,10.8,40.96,40.27,218,6.6,-0.69,82,10.34,-0.46,-0.06
,28347,R29692,932-029,02-05-2021 14:28,04-05-2021 07:24,Glu,2,12,2156,2.501,32.61,25.23,6.48,31.18,25.06,1170.06,25.116,58.496,31.479,94.987,211.081,34.963,Approved,21.73,2.06,12.0,39.86,39.18,700,5.4,-0.68,21,8.71,0.0,0.07
,27922,R29415,932-029,19-04-2021 12:14,20-04-2021 06:30,Glu,8,14,926,2.608,34.04,26.35,6.089,27.63,26.47,1176.81,23.887,58.427,30.062,110.818,179.419,34.097,Approved,22.98,2.01,10.0,40.64,39.7,905,6.4,-0.94,20,8.93,-0.41,-0.05
,28298,R29661,932-029,02-05-2021 11:04,03-05-2021 17:44,Glu,3,10,814,2.51,29.16,26.96,5.943,28.18,26.63,1171.88,23.979,59.192,30.187,116.095,205.804,31.908,Approved,22.2,1.99,11.0,40.28,39.97,671,5.4,-0.31,21,10.84,-0.49,0.02
,27176,R29013,932-029,22-03-2021 21:06,23-03-2021 20:40,Glu,8,9,815,2.292,30.4,26.24,5.738,27.44,26.81,1157.58,21.534,60.543,29.355,116.053,211.005,27.719,Approved,22.3,2.04,11.0,41.13,40.47,256,5.2,-0.66,32,10.5,-0.13,-0.01
,27352,R29113,932-029,29-03-2021 17:02,30-03-2021 23:24,Glu,2,11,2075,2.496,32.17,26.36,5.203,27.88,26.59,1172.22,23.701,60.457,29.828,121.372,184.696,31.905,Approved,22.7,2.07,10.5,41.41,40.45,543,4.9,-0.96,21,10.26,-0.3,-0.06
,27263,R29064,932-029,29-03-2021 13:54,30-03-2021 12:18,Glu,8,16,1013,2.364,30.74,27.12,5.944,29.71,26.13,1179.74,21.035,56.712,28.887,94.952,211.005,27.033,Approved,25.17,1.97,10.0,40.93,40.65,314,7.2,-0.28,32,9.69,0.17,0.15
