time_betw_scan_min,CA,YM,Class,Tid efter start [timer],2/1 mM Glu/Lac [mM],1 mM H2O2 [mM],40/25 mM glu/lac høj O2,40/25 mM glu/lac lav O2,Sensitivity [pA/µM],t on 10/5 mM glu/lac [s],Lav O2 - Høj O2,Tid i min Glu,50 mM Mannose,35 mM Glycolsyre,2 mM PAM
208,2.813,5.586,Approved,21.85,2.05,9.3,40.38,38.96,457,5.7,-1.42,21,11.72,-0.18,-0.03
519,2.862,5.933,Approved,23.55,2.04,10.8,39.8,38.41,717,6.6,-1.39,21,11.95,-0.26,-0.04
185,2.868,5.72,Approved,24.87,2.05,10,40.06,37.19,680,7.5,-2.87,21,15.28,-0.5,-0.07
545,2.82,6.691,Approved,20.57,1.94,9.7,40.99,39.78,437,8.4,-1.21,21,11.62,-1.04,-0.47
784,2.019,5.929,Approved,21.32,2.02,13.6,39.99,38.25,598,5.8,-1.74,21,12.12,-0.08,0.03
3445,2.604,6.454,Approved,17.72,1.99,10.1,40.9,40.24,490,5,-0.66,21,10.7,-0.21,-0.06
1039,2.72,6.611,Approved,23.68,2.1,10,40.03,37.87,601,8.4,-2.16,21,11.39,-0.09,0
1172,2.523,6.072,Approved,21.57,1.92,9.6,41.11,40.24,668,4.8,-0.87,21,13.45,0.03,0.03
1250,2.54,6.32,Approved,21.1,2.03,11,41.81,40.76,311,4.7,-1.05,46,13.99,-0.3,-0.06
8684,2.613,6.987,Approved,22.52,2.29,8.9,36.1,33.18,560,10.3,-2.92,21,12.57,-0.21,-0.05
1621,2.596,6.382,Approved,24.47,1.98,12.3,41.32,40.53,287,7.5,-0.79,40,12.39,-0.09,-0.01
3257,2.792,6.562,Approved,20.55,1.91,13.6,40.34,39.58,289,7.7,-0.76,31,12.1,-0.68,-0.32
1549,2.39,6.423,Approved,24.13,1.97,10.7,40.84,38.38,588,7.1,-2.46,21,13.95,-0.25,-0.11
1232,2.578,6.041,Approved,16.6,2.06,11.4,40.47,39.9,444,6.5,-0.57,21,14.15,-0.05,0
77,2.375,6.56,Approved,19.9,2.01,10.8,40.42,39.04,334,6.8,-1.38,21,12.13,-0.29,-0.16
1261,2.615,6.87,Approved,19.67,2.05,11.5,40.84,40.58,256,7.4,-0.26,44,9.97,-0.19,-0.02
3303,2.78,6.521,Approved,23.58,2.08,10.9,41.4,40.39,336,6.6,-1.01,32,10.9,-0.08,-0.01
1223,2.603,5.762,Approved,22.47,2.06,10.9,40.49,39.27,523,5.4,-1.22,22,12.82,-0.21,-0.02
1247,2.512,6.96,Approved,21.65,1.98,11.8,41.4,40.14,531,8.3,-1.26,21,11,-0.06,0.02
1905,2.54,5.691,Approved,21.7,1.99,10.4,42.16,41.02,787,5.4,-1.14,22,11.94,0,0.01
1305,2.603,6.183,Approved,21.88,2.06,11.6,40.6,40.12,300,5.3,-0.48,32,14.34,-0.23,-0.03
6673,2.465,5.409,Approved,24.85,2.02,10.3,40.77,40.41,752,4.3,-0.36,21,15.69,-0.09,-0.02
1780,2.136,6.098,Approved,22.38,2.3,9.1,33.67,29.97,794,7.7,-3.7,21,10.51,-0.45,0.09
3130,2.605,6.05,Approved,24.75,2.07,10.4,40.17,39.71,582,4.7,-0.46,30,13.16,-0.03,0.05
21358,2.641,5.861,Approved,18.9,2.04,10.9,41.37,41.01,483,4.8,-0.36,21,11.12,-0.01,0.03
1599,2.665,5.685,Approved,27.22,2.12,9.5,41.23,39.5,422,5.9,-1.73,22,13.72,-0.03,0.03
3293,2.677,7.021,Approved,22.82,2.04,12.4,40.75,39.96,316,7.9,-0.79,31,10.67,-0.24,-0.15
1169,2.395,6.033,Approved,23.33,1.94,11.5,40.76,40.62,254,5.8,-0.14,35,11.4,-0.42,-0.11
4313,2.68,5.889,Approved,21.93,2.03,9.6,41.31,39.17,854,7,-2.14,21,12.49,-0.07,0.03
6058,2.659,6.642,Approved,22.3,1.81,11.3,41.27,40.53,209,8.8,-0.74,75,10.85,-0.98,-0.3
5197,2.79,5.97,Approved,23.6,2.17,10.2,40.32,40.23,624,5.1,-0.09,21,11.15,-0.2,-0.04
