time_betw_scan_hours,CA,YM,Class,2/1 mM Glu/Lac [mM],1 mM H2O2 [mM],40/25 mM glu/lac høj O2,Sensitivity [pA/µM],t on 10/5 mM glu/lac [s],Lav O2 - Høj O2
1780,2.136,6.098,Failed,0.05,0.9,3.33,194,2.1,2.7
1133,2.61,5.74,Failed,0.27,1.1,2.37,482,1.7,2.07
1257,2.556,6.876,Failed,0.4,1.2,2.97,383,6.8,1.05
649,2.465,5.64,Failed,0.36,0.2,4.74,479,0.3,0.42
1704,2.71,6.918,Failed,0.15,0,2.87,401,5.5,0.18
4384,2.611,6.291,Failed,0.12,1.5,6.65,247,6.8,3.26
2521,2.613,6.64,Failed,0.3,2.8,5.3,441,0,0.43
8668,2.632,6.916,Failed,0.32,2.7,3.71,462,7.8,0.57
2714,2.475,6.712,Failed,0.42,2.6,3.96,442,1.6,0.66
1758,2.95,6.636,Failed,0.21,0.1,2.65,327,6,0.16
5927,2.664,6.709,Failed,0.12,0.6,1.18,205,4.1,4.02
824,2.66,7.081,Failed,0.21,0.1,2.72,182,8.3,2.65
1449,2.532,7.216,Failed,0.35,3.2,1.76,423,17.7,0.76
3353,2.495,6.648,Failed,0.31,0.8,2.48,424,2.1,1.38
853,2.376,5.823,Failed,0.23,0.7,0.64,159,7.1,3.67
8848,2.57,6.534,Failed,0.26,2.2,4.35,401,2.6,0.37
1935,2.45,4.505,Failed,0.22,0.2,4.49,504,0.2,0.43
3985,2.326,6.129,Failed,0.01,0.7,0.85,220,21.2,3.11
277,2.75,6.242,Failed,0.21,1.7,3.71,461,1.4,1.04
3029,2.637,6.286,Failed,0.04,1,0.41,414,2.7,4.12
1233,2.43,6.787,Failed,0.19,0.3,0.44,19,7.7,2.63
1727,2.741,6.852,Failed,0.37,3.7,4.08,478,5.2,0.44
2626,2.487,6.355,Failed,0.32,0.9,3.72,519,1.9,0.11
1476,2.808,5.476,Failed,30.3,4553.2,41.47,600,0.1,11.33
21,2.633,6.841,Failed,0.09,1.4,4.2,21,4.6,4.41
2771,2.65,6.167,Failed,0.17,5.9,2.88,301,9.3,1.58
7093,2.377,6.144,Failed,0.11,1.6,1.12,77,6.2,3.21
2566,2.428,7.167,Failed,0.33,0.3,5.08,405,4.3,0.37
1649,2.35,5.882,Failed,6.74,3678.2,42.94,601,9.3,2.31
1209,2.81,7.316,Failed,0.22,1.4,4.96,271,7.1,0.34
754,2.982,7.302,Failed,0.31,1,3.5,436,7.7,1.61
1648,2.356,5.576,Failed,0.14,0.6,3.44,1477,3.5,7.66
858,2.95,5.438,Failed,0.25,0.9,4.19,556,0.1,1.78
1717,2.531,7.207,Failed,0.34,1.9,4.03,414,3.6,0.45
1466,2.516,5.554,Failed,0.01,1.2,0.51,76,17.8,3.08
4980,2.619,5.957,Failed,0.26,0.6,4.07,704,1.1,1.11
1481,3.053,6.996,Failed,0.32,1.3,4.43,404,4.3,0.29
3063,2.848,6.451,Failed,0.01,1.7,8.55,364,2.1,3.23
3149,2.765,6.674,Failed,0.44,1.4,4.13,443,4.2,0.08
193,2.524,5.986,Failed,0.31,0.8,3.11,408,1.2,1.27
2772,2.76,7.108,Failed,0.39,2.3,3.68,443,3,0.51
3167,2.328,6.961,Failed,0.35,4.6,3.46,436,3.6,0.87
7788,2.688,6.582,Failed,0.21,2,4.84,157,6.4,1.22
7011,2.627,6.913,Failed,0.35,1.4,5.16,209,6.2,0.13
3198,2.59,6.595,Failed,0.25,2.9,4.41,408,1.5,0.6
637,2.516,5.455,Failed,0.34,0,4.57,729,0.3,0.06
3236,2.75,6.449,Failed,0.29,0.3,3.04,216,6.9,1.58
1879,2.69,6.572,Failed,0.13,0.8,0.5,41,10.3,3.81
1472,2.78,6.683,Failed,0.2,0.3,0.96,340,5.8,1.71
7547,2.7,5.897,Failed,0.24,0.3,2.7,19,6.6,2.45
1411,2.71,6.888,Failed,0.27,2.7,3.04,409,3.2,0.52
1791,2.428,7.232,Failed,1.23,3.2,3.31,273,0.8,1.44
4498,2.732,6.436,Failed,0.03,1,2.52,267,5.9,6.01
5996,2.547,5.605,Failed,0.18,0.8,2.04,261,6.2,1.84
18492,2.591,7.291,Failed,0.08,0.9,1.78,369,16.2,1.34
3987,2.606,6.323,Failed,0.34,1.2,1.67,235,5.8,0.91
2077,2.6,6.748,Failed,0.1,1,1.88,91,7.3,2.43
1866,2.7,6.97,Failed,0.25,0.6,1.31,213,6.3,1.56
1503,2.422,6.313,Failed,0.09,0,0.37,159,12.7,3.54
1338,2.61,7.031,Failed,0.1,0.5,0.94,330,13.7,1.8
4752,2.77,6.968,Failed,0.19,0.7,3.76,306,6.9,1.08
