time_betw_scan_min,CA,YM,Class,Tid efter start [timer],2/1 mM Glu/Lac [mM],1 mM H2O2 [mM],40/25 mM glu/lac høj O2,40/25 mM glu/lac lav O2,Sensitivity [pA/µM],t on 10/5 mM glu/lac [s],Lav O2 - Høj O2,Tid i min Glu,50 mM Mannose,35 mM Glycolsyre,2 mM PAM
1511,2.462,6.401,Failed,23.82,2.12,21.4,38.85,36.66,72,13,-2.19,21,3.82,0.08,0.04
2988,2.463,7.031,Failed,25.28,2.16,9.4,33.41,28.11,707,9.8,-5.3,36,15.63,-0.01,0.01
971,2.622,5.28,Failed,27.2,2.33,8.6,35.34,30.31,794,9.8,-5.03,21,14.11,-0.01,0.03
1940,2.668,6.259,Failed,23.3,2.3,8.3,33.91,29.17,690,6.2,-4.74,21,9.97,-0.06,0.03
185,2.593,7.018,Failed,20.55,2.02,12.2,41,40.39,196,9.6,-0.61,91,12.54,-0.23,0.04
2850,2.264,6.863,Failed,22.6,1.94,11.5,39.75,38.35,213,21,-1.4,141,14.37,-0.1,-0.01
258,2.806,6.541,Failed,20.42,1.9,8.2,32.1,31.32,584,15,-0.78,31,10.13,-0.7,-0.28
1048,2.57,6.974,Failed,22.88,2.05,10.6,39.41,38.26,186,12,-1.15,106,10.38,-1.14,-0.16
1715,2.981,7.041,Failed,23.95,1.89,9.6,34.91,34.74,293,13.8,-0.17,75,11.62,-0.64,-0.04
1482,2.57,7.105,Failed,24.22,2.22,10.7,37.57,35.57,381,12.6,-2,36,12.63,-0.17,-0.09
473,2.63,5.748,Failed,24.42,1.98,11.9,41.44,39.72,1320,5.2,-1.72,21,10.79,-0.3,-0.06
1494,2.68,5.695,Failed,20.53,1.99,10.6,41.09,38.7,1305,6,-2.39,21,10.89,-0.14,-0.01
187,2.89,5.802,Failed,23.02,2.13,9.1,39.61,37.53,1002,7.2,-2.08,21,10.5,-0.06,-0.01
