bcr_dir,RunNumberPartNumberID,RunNumber,PartNumber,Timestamp,Sensor,BoardNumber,ArrayNumber,time_betw_scan_min,CA,CA Humidity,CA Temperature,YM,Class,Tid efter start [timer],2/1 mM Glu/Lac [mM],1 mM H2O2 [mM],40/25 mM glu/lac h�j O2,Sensitivity [pA/�M],t on 10/5 mM glu/lac [s],Lav O2 - H�j O2
,26729,R28753,932-029,08-03-2021 12:32,Glu,2,2,1141,2.694,28.87,26.72,6.01,Failed,1.5,0.1,0.1,3.31,83,6.7,2.81
,26735,R28759,932-029,08-03-2021 08:20,Glu,7,1,502,2.668,29.16,26.13,6.687,Failed,0.47,0.21,2.9,4.29,441,2.1,0.82
,26735,R28759,932-029,08-03-2021 07:58,Glu,1,1,524,2.917,30.59,24.95,6.572,Failed,0.55,0.24,1.6,4.04,402,0.5,0.47
,26702,R28741,932-029,04-03-2021 15:26,Glu,8,11,3491,2.653,31.63,25.73,6.171,Failed,1.18,0.23,0.3,2.45,311,7,1.52
,26655,R28709,932-029,04-03-2021 14:04,Glu,1,9,3393,2.387,30.19,26.98,6.271,Failed,1.82,0.13,1.4,1.38,50,2,4.5
,26655,R28709,932-029,04-03-2021 13:44,Glu,3,1,3369,2.407,30.86,26.84,6.387,Failed,1.77,0.13,0.4,0.07,262,5.7,1.71
,26697,R28736,932-029,04-03-2021 12:28,Glu,3,5,2090,2.156,30.45,26.91,6.412,Failed,1.75,0.14,1.2,2.34,328,7.6,1.37
,26630,R28684,932-029,04-03-2021 11:10,Glu,8,3,4410,1.848,30.13,27.11,6.078,Failed,1.53,0.14,0.4,0.85,116,6.2,2.49
,26685,R28724,932-029,04-03-2021 10:46,Glu,8,1,3089,2.275,29.6,27.19,6.629,Failed,1.48,0.22,2.7,4.02,409,3,0.22
,26687,R28726,932-029,04-03-2021 10:04,Glu,3,6,5507,2.112,28.84,27.69,6.444,Failed,1.22,0.16,1,1.46,246,13.9,2.8
,26658,R28712,932-029,04-03-2021 09:32,Glu,1,10,3604,2.563,29.65,27.53,6.399,Failed,1.22,0.09,0.9,1.49,285,8.9,1.68
,26662,R28716,932-029,04-03-2021 07:48,Glu,8,8,670,2.354,29.29,26.79,5.865,Failed,1.35,0.18,0.1,1.26,99,5.9,2.18
,26662,R28716,932-029,04-03-2021 07:34,Glu,3,12,672,2.344,29.66,26.43,6.422,Failed,1.37,0.11,0.5,0.95,107,4,1.9
,26657,R28711,932-029,03-03-2021 17:20,Glu,8,13,3294,2.57,31.24,26.59,6.431,Failed,1.2,0.24,1.5,4.44,425,0.4,0.75
,26657,R28711,932-029,03-03-2021 17:06,Glu,3,3,3326,2.547,30.54,26.68,6.258,Failed,1.2,0.38,2,4.14,440,0.7,0.68
,26657,R28711,932-029,03-03-2021 17:02,Glu,2,4,3333,2.534,30.98,26.68,6.616,Failed,1.2,0.3,0.3,1.62,441,1.7,1.26
,26686,R28725,932-029,03-03-2021 16:56,Glu,8,6,4089,2.71,30.84,26.63,6.736,Failed,1.53,0.2,2.5,2.82,389,5.9,0.23
,26624,R28678,932-029,03-03-2021 15:32,Glu,1,6,2028,2.676,32.51,25.73,6.894,Failed,1.73,0.23,2,4.17,376,6,0.57
,26644,R28698,932-029,03-03-2021 14:22,Glu,2,10,907,2.671,29.98,26.91,5.713,Failed,1.42,0.19,0.4,1.62,50,1.6,5.19
,26637,R28691,932-029,03-03-2021 10:22,Glu,1,10,1002,2.718,29.21,27.53,5.739,Failed,1.68,0.15,1.2,2.71,246,4.4,4.7
,26639,R28693,932-029,02-03-2021 21:06,Glu,8,8,885,2.576,33.7,24.86,5.528,Failed,1.35,0.13,0.8,1.52,29,3.5,4.66
,26639,R28693,932-029,02-03-2021 20:48,Glu,2,2,870,2.64,33.94,25.09,5.412,Failed,1.37,0.14,0.6,1.17,74,0.5,1.84
,26632,R28686,932-029,02-03-2021 20:14,Glu,8,16,728,2.524,31.51,26.63,6.304,Failed,1.35,0.11,1.1,0.19,435,0.7,0.16
,26632,R28686,932-029,02-03-2021 19:52,Glu,1,1,738,2.54,32,26.42,6.905,Failed,1.35,0.09,0.2,2.96,210,3.3,2.72
,26650,R28704,932-029,02-03-2021 17:12,Glu,3,10,1339,2.447,33.23,25.59,6.049,Failed,2.75,0.22,0.6,0.18,57,6.2,4.7
,26650,R28704,932-029,02-03-2021 17:08,Glu,2,2,1341,2.405,32.71,25.59,6.139,Failed,2.65,0.45,1.4,2.92,256,6.8,2.63
,26650,R28704,932-029,02-03-2021 17:06,Glu,1,9,1345,2.813,32.64,25.64,5.984,Failed,2.72,0.01,1.4,4.07,99,3.4,4.25
,26614,R28668,932-029,02-03-2021 16:58,Glu,8,13,761,2.638,31.92,25.87,6.041,Failed,1.43,0.11,0.6,0.45,0,6,3.42
,26638,R28692,932-029,02-03-2021 15:22,Glu,1,3,5411,2.863,30.1,27.62,5.699,Failed,1.77,0.21,0.4,0.96,220,0.9,1.48
,26619,R28673,932-029,02-03-2021 13:32,Glu,2,15,1931,2.255,29.95,27.44,4.935,Failed,2.38,0.16,1,2.44,415,2.6,2.76
,26615,R28669,932-029,02-03-2021 09:56,Glu,8,16,1709,2.632,28.59,28.34,6.181,Failed,2.65,0.23,0.2,1.63,179,6.6,2.16
,26615,R28669,932-029,02-03-2021 09:44,Glu,3,15,1702,2.652,29.19,28.17,6.518,Failed,2.72,0.37,0.3,1.87,361,8.2,1.84
,26645,R28699,932-029,02-03-2021 07:02,Glu,1,2,1348,2.648,31.48,25.43,6.381,Failed,5.73,0.07,0.4,2.21,74,4,6.22
,26616,R28670,932-029,01-03-2021 20:02,Glu,2,16,2393,2.62,32.2,25.38,6.575,Failed,1.95,0.27,0.1,4.2,426,10.5,0.49
,26545,R28664,932-029,01-03-2021 19:30,Glu,1,3,2590,2.469,32.24,25.98,7.04,Failed,1.87,0.13,0.1,2.26,361,10.2,3.84
,26498,R28632,932-029,25-02-2021 22:46,Glu,1,2,3189,2.346,29.98,26.98,6.628,Failed,1.28,0.81,1.5,11.43,303,2.4,6.62
,26495,R28629,932-029,25-02-2021 22:22,Glu,1,1,3060,2.645,30.49,26.61,6.886,Failed,1.33,0.37,1.8,4.17,450,4.1,0.55
,26493,R28627,932-029,25-02-2021 22:18,Glu,8,1,3031,2.708,30.62,26.52,7.09,Failed,1.28,0.26,0.9,3.03,367,7.2,0.93
,26490,R28624,932-029,25-02-2021 16:20,Glu,1,2,815,2.332,31.93,26.45,6.298,Failed,1.57,0.08,1.8,2.48,9,3.7,3.64
,26428,R28592,932-029,25-02-2021 15:28,Glu,2,5,768,2.283,32.29,26.22,6.586,Failed,1.3,0.28,0.8,0.04,151,6.9,3.68
,26488,R28622,932-029,25-02-2021 14:44,Glu,1,4,4970,1.841,31.58,26.31,6.082,Failed,1.67,0.02,1.8,2.83,233,12.4,5.45
,26474,R28608,932-029,25-02-2021 13:04,Glu,3,2,3399,1.906,32.72,25.83,6.4,Failed,1.43,0.04,0.9,4.03,448,8.3,6.6
,26382,R28573,932-029,25-02-2021 12:14,Glu,1,1,4386,2.256,30.81,26.81,6.705,Failed,1.37,0.08,1.4,1.63,310,15.4,2.11
,26433,R28597,932-029,25-02-2021 11:10,Glu,3,1,902,2.107,31.16,26.58,6.25,Failed,1.57,0.02,2.3,4.36,204,9.3,5.19
,26443,R28607,932-029,25-02-2021 11:02,Glu,8,1,5212,2.022,31.41,26.26,6.328,Failed,1.57,0.06,0.2,0.69,147,5.9,2.75
,26443,R28607,932-029,25-02-2021 10:46,Glu,3,10,5197,1.87,32.44,26.1,5.482,Failed,1.63,0.14,1.2,5.19,313,1.8,5.18
,26443,R28607,932-029,25-02-2021 10:44,Glu,2,9,5206,1.834,31.9,26.15,5.803,Failed,1.42,0.11,1.4,4.55,461,5,6.01
,26424,R28588,932-029,25-02-2021 10:22,Glu,3,1,5916,2.02,29.5,27.34,5.942,Failed,1.35,0.12,0.5,0.84,64,4.3,5.26
,26429,R28593,932-029,25-02-2021 09:56,Glu,2,11,4289,2.038,28.99,27.46,6.107,Failed,1.38,0.17,0,0.56,129,3.3,5.09
,26418,R28582,932-029,25-02-2021 08:54,Glu,8,1,780,2.478,31.21,26.21,6.08,Failed,1.4,0.16,0.5,1.29,2,6.2,2.82
,26418,R28582,932-029,25-02-2021 08:40,Glu,3,5,780,2.183,29.02,27.71,6.259,Failed,1.48,0.22,0.4,0.85,59,10.9,3
,26418,R28582,932-029,25-02-2021 08:36,Glu,2,10,779,2.443,28.91,27.64,6.161,Failed,1.37,0.01,0.2,0.7,62,5.8,3.14
,26442,R28606,932-029,25-02-2021 08:06,Glu,8,3,5107,2.42,29.78,27.07,6.023,Failed,1.23,0.37,2.4,8.44,605,3.1,7.95
,26430,R28594,932-029,24-02-2021 20:40,Glu,1,1,6934,2.446,34.1,24.9,7.094,Failed,1.33,0.03,1.5,5.01,5,7,6.39
,26374,R28565,932-029,24-02-2021 20:08,Glu,1,1,1089,2.569,31.82,26.22,6.718,Failed,1.85,0.23,0.3,1.16,193,13.7,1.33
,26427,R28591,932-029,24-02-2021 17:32,Glu,8,11,2222,2.384,32.19,26.59,5.972,Failed,1.35,0.35,0.9,2.73,202,6.1,1.07
,26422,R28586,932-029,24-02-2021 16:58,Glu,8,8,688,2.228,31.67,26.81,5.92,Failed,1.53,0.06,0.6,0.66,270,2,5.27
,26310,R28516,932-029,24-02-2021 11:28,Glu,1,4,2953,2.55,32.52,25.55,6.229,Failed,1.38,0.05,0.1,1.14,159,6.4,3.89
,26363,R28554,932-029,24-02-2021 09:46,Glu,1,7,743,2.818,30.76,26.49,6.657,Failed,1.68,0.35,0.2,0.95,239,7.5,1.76
,26377,R28568,932-029,24-02-2021 09:12,Glu,3,2,940,2.576,30.12,26.91,5.497,Failed,1.75,0.05,0.5,4.6,37,4.2,4.09
,26361,R28552,932-029,24-02-2021 01:54,Glu,8,2,1997,2.38,31.65,26.68,6.501,Failed,0.38,0.27,0.7,2.22,263,6.1,0.4
,26379,R28570,932-029,24-02-2021 01:30,Glu,8,13,1040,2.573,31.72,26.75,6.329,Failed,4.38,0.16,0.4,0.61,209,7.7,1.57
,26379,R28570,932-029,24-02-2021 01:14,Glu,3,2,1044,2.447,31.24,26.73,6.217,Failed,4.45,0.12,0.9,2.1,276,6.3,1.27
,26345,R28536,932-029,23-02-2021 23:36,Glu,8,1,931,2.45,31.7,26.47,6.676,Failed,1.52,0.15,0.9,0.42,162,8.5,3.54
,26345,R28536,932-029,23-02-2021 23:20,Glu,3,7,939,2.336,31.36,26.43,6.415,Failed,1.5,0.14,1.3,0.22,19,6.8,5.78
,26345,R28536,932-029,23-02-2021 23:14,Glu,1,16,942,2.534,31.41,26.35,5.961,Failed,1.82,0.16,1.3,1.13,127,5,5.4
,26354,R28545,932-029,23-02-2021 22:50,Glu,1,2,1072,2.427,31.68,26.33,5.951,Failed,1.77,0.13,1.4,0.53,3,6.1,3.39
,26350,R28541,932-029,23-02-2021 20:42,Glu,8,13,544,2.462,34.17,24.76,5.937,Failed,1.7,1.56,0.5,12.34,1525,1,6.73
,26333,R28524,932-029,23-02-2021 18:18,Glu,8,10,2363,2.371,34.42,24.69,6.095,Failed,1.43,0,1,3.87,85,4.4,5.3
,26333,R28524,932-029,23-02-2021 18:04,Glu,3,15,2377,2.498,34.39,24.7,6.164,Failed,1.48,0.11,0.3,1.42,135,6.7,3.16
,26306,R28512,932-029,23-02-2021 17:50,Glu,8,2,719,2.422,33.5,24.85,6.251,Failed,1.72,0.28,1,0.74,126,7.1,2.24
,26294,R28500,932-029,23-02-2021 14:02,Glu,3,2,2578,2.468,31.97,26.13,6.074,Failed,1.58,0.02,1.2,2.75,185,4.1,3.53
,26373,R28564,932-029,22-02-2021 16:20,Glu,8,3,559,2.329,33.62,24.6,7.524,Failed,1.48,0.11,3,3.66,419,2.1,0.04
,26373,R28564,932-029,22-02-2021 16:04,Glu,3,12,569,2.419,33.57,24.86,7.295,Failed,1.52,0.43,3.3,3.2,440,1.1,0.67
,26373,R28564,932-029,22-02-2021 15:58,Glu,1,4,569,2.429,33.25,24.95,7.151,Failed,1.45,0.07,4.9,7.37,474,3.8,0.24
,26367,R28558,932-029,22-02-2021 15:34,Glu,2,9,977,2.399,31.85,25.8,6.339,Failed,1.48,0.03,0.5,1.26,93,2,3.22
,26369,R28560,932-029,22-02-2021 14:46,Glu,1,10,990,2.574,29.88,26.59,5.212,Failed,1.47,0.02,0.8,1.84,2,4.9,2.96
,26371,R28562,932-029,22-02-2021 14:32,Glu,4,2,428,2.442,31.7,25.76,7.197,Failed,1.37,0,0,5.08,233,9,5.77
,26371,R28562,932-029,22-02-2021 14:16,Glu,1,12,434,2.451,29.85,27.02,7.39,Failed,1.52,0.3,2.1,3.98,501,24.5,0.44
,26370,R28561,932-029,22-02-2021 14:12,Glu,8,6,474,2.51,29.41,27.12,6.818,Failed,1.48,0.25,3.2,3.5,523,4.7,0.88
,26370,R28561,932-029,22-02-2021 14:00,Glu,4,13,484,2.286,29.44,27.11,6.364,Failed,1.47,0.12,1.2,4.48,447,0.3,0.13
,26370,R28561,932-029,22-02-2021 13:58,Glu,3,3,505,2.375,29.58,27.09,7.376,Failed,1.42,0.11,1.1,2.91,417,8,1
,26370,R28561,932-029,22-02-2021 13:34,Glu,2,13,506,2.488,29.85,26.91,7.148,Failed,1.52,0.09,2.6,3.87,528,13,0.69
,26174,R28425,932-029,22-02-2021 10:52,Glu,3,8,1274,2.415,29.81,26.65,6.681,Failed,1.43,0.06,0.6,2.12,351,6.6,2.1
,26183,R28434,932-029,22-02-2021 10:24,Glu,3,3,528,2.019,27.68,28.02,5.595,Failed,1.58,0,0.7,1.74,4,4.6,2.4
,26183,R28434,932-029,22-02-2021 10:18,Glu,1,7,533,2.167,27.73,27.92,5.43,Failed,1.53,0.08,1.2,1.74,181,4.5,3.52
,26305,R28511,932-029,22-02-2021 10:16,Glu,8,7,1001,1.852,27.8,27.83,6.374,Failed,1.43,0.19,0.7,7.9,205,5.9,6.25
,26416,R28580,932-029,22-02-2021 08:20,Glu,7,14,2125,2.413,30.6375,25.9721875,5.912,Failed,1.38,0.04,0.6,0.86,6,2,5.41
,26236,R28472,932-029,20-02-2021 12:32,Glu,8,6,3082,2.55,27.54,28.13,6.58,Failed,1.68,0.09,0.2,2.54,170,8.6,4.8
,26349,R28540,932-029,20-02-2021 11:18,Glu,2,4,4060,2.429,28.33,27.65,6.334,Failed,1.45,0.05,0.9,0.23,132,6.8,2.7
,26298,R28504,932-029,20-02-2021 10:22,Glu,2,3,3995,2.367,29.88,26.52,6.606,Failed,4.28,0.17,1.7,2.52,389,7.5,1.58
,26313,R28519,932-029,20-02-2021 09:32,Glu,1,3,1879,2.591,29.78,26.68,6.895,Failed,7.98,0.35,0.4,4.14,388,6.7,0.76
,26314,R28520,932-029,20-02-2021 05:48,Glu,2,3,1945,2.126,28.42,27.85,6.712,Failed,7.75,0.11,0.4,1.17,88,3.8,5.21
,26346,R28537,932-029,20-02-2021 04:44,Glu,7,16,2728,2.098,28.3,27.71,6.499,Failed,7.73,0.36,2.1,3.83,447,8.5,1.07
,26251,R28487,932-029,19-02-2021 01:24,Glu,1,8,3970,2.378,30.64,26.66,6.809,Failed,7.98,0.31,2.7,5.39,401,3.1,0.44
