time_betw_scan_hours,CA,YM,2/1 mM Glu/Lac [mM],1 mM H2O2 [mM],40/25 mM glu/lac høj O2,40/25 mM glu/lac lav O2,Sensitivity [pA/µM],t on 10/5 mM glu/lac [s],Lav O2 - Høj O2,50 mM Mannose,35 mM Glycolsyre,2 mM PAM,Class
0.053,0.655,0.482,0.269,0.336,0.791,0.726,0.379,0.146,0.546,0.251,0.705,0.554,1.000
0.080,0.273,0.000,0.236,0.430,0.880,0.902,0.281,0.066,0.749,0.587,0.614,0.392,1.000
0.158,0.273,0.840,0.179,0.701,0.827,0.879,0.142,0.071,0.796,0.418,0.705,0.486,1.000
0.193,0.920,0.420,0.311,0.393,0.877,0.908,0.228,0.066,0.766,0.727,0.864,0.649,1.000
0.054,0.920,0.420,0.288,0.374,0.805,0.905,0.270,0.126,0.887,0.770,0.727,0.676,1.000
0.124,0.920,0.420,0.283,0.383,0.739,0.793,0.247,0.101,0.774,0.664,0.879,0.595,1.000
0.070,0.920,0.420,0.307,0.542,0.841,0.859,0.253,0.091,0.729,0.408,0.773,0.541,1.000
0.079,0.597,0.420,0.302,0.523,0.816,0.871,0.391,0.066,0.799,0.402,0.818,0.595,1.000
0.079,0.920,0.420,0.274,0.411,0.801,0.856,0.462,0.020,0.794,0.534,0.758,0.608,1.000
0.133,0.920,0.420,0.330,0.393,0.698,0.653,0.466,0.172,0.557,0.378,0.902,0.622,1.000
0.227,0.920,0.854,0.264,0.430,0.833,0.853,0.397,0.152,0.730,0.352,0.894,0.622,1.000
0.021,0.273,0.420,0.226,0.346,0.627,0.579,0.438,0.116,0.532,0.480,0.583,0.608,1.000
0.137,0.273,0.420,0.278,0.551,0.841,0.889,0.280,0.071,0.792,0.244,0.864,0.649,1.000
0.026,0.920,0.420,0.288,0.402,0.757,0.808,0.294,0.152,0.773,0.714,0.538,0.581,1.000
0.082,0.920,0.420,0.245,0.374,0.787,0.805,0.193,0.071,0.713,0.288,0.788,0.622,1.000
0.491,0.920,0.420,0.288,0.430,0.803,0.804,0.308,0.116,0.683,0.531,0.742,0.608,1.000
0.296,0.920,0.420,0.269,0.393,0.695,0.711,0.450,0.106,0.684,0.286,0.917,0.635,1.000
0.345,0.920,0.420,0.274,0.486,0.811,0.851,0.283,0.126,0.765,0.555,0.848,0.635,1.000
0.163,0.273,0.420,0.255,0.645,0.787,0.831,0.147,0.227,0.769,0.561,0.568,0.662,1.000
0.003,0.920,0.420,0.269,0.402,0.837,0.814,0.484,0.071,0.645,0.459,0.629,0.622,1.000
0.053,0.506,0.420,0.274,0.486,0.851,0.853,0.356,0.096,0.700,0.398,0.720,0.581,1.000
0.065,0.714,0.840,0.184,0.523,0.786,0.734,0.241,0.232,0.569,0.285,0.856,0.703,1.000
0.079,0.920,0.420,0.264,0.327,0.835,0.898,0.355,0.071,0.822,0.516,0.841,0.608,1.000
0.084,0.920,0.420,0.274,0.421,0.795,0.815,0.281,0.146,0.721,0.619,0.742,0.486,1.000
0.428,0.674,0.840,0.203,0.551,0.820,0.847,0.139,0.207,0.742,0.545,0.773,0.595,1.000
0.038,0.920,0.840,0.292,0.617,0.821,0.861,0.145,0.101,0.769,0.371,0.576,0.541,1.000
0.004,0.920,0.420,0.255,0.505,0.828,0.888,0.344,0.025,0.812,0.378,0.803,0.595,1.000
0.508,0.920,0.840,0.278,0.729,0.848,0.881,0.108,0.172,0.763,0.496,0.818,0.595,1.000
0.012,0.593,0.840,0.255,0.523,0.735,0.812,0.219,0.212,0.819,0.197,0.902,0.635,1.000
0.101,0.920,0.840,0.259,0.645,0.755,0.834,0.117,0.222,0.829,0.337,0.932,0.730,1.000
0.292,0.920,0.420,0.274,0.430,0.816,0.853,0.302,0.066,0.760,0.601,0.886,0.662,1.000
0.059,0.920,0.420,0.241,0.364,0.784,0.849,0.433,0.071,0.810,0.269,0.939,0.716,1.000
0.078,0.712,0.840,0.222,0.364,0.813,0.849,0.318,0.106,0.759,0.585,0.894,0.635,1.000
0.069,0.643,0.420,0.250,0.486,0.822,0.882,0.302,0.081,0.810,0.239,0.932,0.676,1.000
0.102,0.920,0.420,0.269,0.486,0.787,0.856,0.278,0.061,0.818,0.672,0.841,0.608,1.000
0.057,0.920,0.420,0.259,0.579,0.824,0.874,0.149,0.136,0.791,0.594,0.538,0.595,1.000
0.128,0.920,0.420,0.269,0.449,0.862,0.874,0.291,0.086,0.723,0.296,0.765,0.554,1.000
