time_betw_scan_hours,CA,YM,2/1 mM Glu/Lac [mM],1 mM H2O2 [mM],40/25 mM glu/lac høj O2,40/25 mM glu/lac lav O2,Sensitivity [pA/µM],t on 10/5 mM glu/lac [s],Lav O2 - Høj O2,50 mM Mannose,35 mM Glycolsyre,2 mM PAM
0.089,0.078,0.584,0.208,0.476,0.800,0.834,0.146,0.142,0.741,0.684,0.797,0.535
0.051,0.078,0.842,0.250,0.581,0.819,0.847,0.176,0.183,0.735,0.361,0.549,0.549
0.059,0.262,0.421,0.198,0.486,0.770,0.799,0.178,0.208,0.718,0.716,0.534,0.380
0.208,0.195,0.421,0.259,0.629,0.759,0.809,0.194,0.102,0.758,0.524,0.820,0.648
0.085,0.262,0.421,0.274,0.448,0.744,0.715,0.508,0.096,0.582,0.776,0.564,0.493
0.091,0.225,0.421,0.274,0.438,0.801,0.813,0.307,0.041,0.694,0.593,0.752,0.549
0.085,0.183,0.421,0.292,0.400,0.799,0.863,0.382,0.056,0.804,0.813,0.910,0.718
0.076,0.078,0.842,0.208,0.457,0.828,0.840,0.281,0.142,0.705,0.494,0.797,0.690
0.071,0.262,0.421,0.274,0.343,0.709,0.711,0.340,0.228,0.634,0.518,0.383,0.338
0.273,0.214,0.421,0.278,0.448,0.790,0.846,0.251,0.071,0.785,0.595,0.752,0.620
0.055,0.206,0.487,0.241,0.410,0.810,0.832,0.345,0.066,0.718,0.393,0.857,0.634
0.077,0.262,0.842,0.307,0.448,0.669,0.694,0.263,0.284,0.668,0.451,0.895,0.648
0.123,0.262,0.421,0.297,0.267,0.625,0.568,0.292,0.208,0.474,0.499,0.805,0.704
0.072,0.078,0.842,0.274,0.495,0.782,0.840,0.256,0.152,0.783,0.314,0.910,0.676
0.192,0.225,0.421,0.264,0.448,0.807,0.831,0.382,0.076,0.723,0.645,0.722,0.592
0.285,0.078,0.421,0.241,0.514,0.844,0.871,0.219,0.091,0.743,0.543,0.744,0.563
0.236,0.078,0.421,0.278,0.438,0.879,0.874,0.331,0.015,0.689,0.580,0.857,0.746
0.471,0.262,0.421,0.264,0.381,0.559,0.557,0.480,0.081,0.566,0.549,0.729,0.718
0.020,0.262,0.360,0.274,0.495,0.771,0.825,0.435,0.025,0.772,0.664,0.872,0.690
0.477,0.262,0.842,0.335,0.590,0.848,0.859,0.128,0.234,0.712,0.617,0.729,0.451
0.356,0.262,0.421,0.259,0.533,0.822,0.847,0.295,0.061,0.731,0.616,0.684,0.634
0.123,0.262,0.421,0.297,0.562,0.848,0.878,0.267,0.041,0.753,0.711,0.917,0.704
0.080,0.262,0.421,0.264,0.543,0.844,0.842,0.273,0.102,0.680,0.193,0.842,0.704
0.363,0.262,0.421,0.255,0.486,0.868,0.869,0.420,0.086,0.697,0.604,0.782,0.507
0.060,0.262,0.842,0.259,0.486,0.814,0.839,0.213,0.117,0.727,0.342,0.729,0.690
0.006,0.262,0.421,0.325,0.400,0.778,0.722,0.288,0.147,0.539,0.868,0.940,0.732
0.141,0.078,0.421,0.259,0.362,0.667,0.662,0.347,0.168,0.604,0.455,0.902,0.704
0.089,0.262,0.842,0.311,0.543,0.780,0.826,0.238,0.152,0.758,0.456,0.827,0.676
0.012,0.205,0.842,0.208,0.419,0.768,0.755,0.358,0.137,0.626,0.410,0.677,0.634
0.095,0.262,0.745,0.259,0.419,0.829,0.858,0.150,0.107,0.741,0.407,0.812,0.535
0.001,0.262,0.421,0.241,0.667,0.802,0.838,0.173,0.076,0.746,0.345,0.654,0.746
0.222,0.262,0.842,0.274,0.514,0.815,0.847,0.251,0.173,0.743,0.366,0.887,0.676
0.199,0.262,0.421,0.292,0.667,0.787,0.845,0.182,0.076,0.787,0.655,0.850,0.662
0.468,0.169,0.421,0.335,0.362,0.703,0.718,0.316,0.112,0.661,0.337,0.872,0.662
0.071,0.226,0.421,0.255,0.429,0.777,0.719,0.413,0.102,0.533,0.661,0.759,0.662
0.071,0.179,0.421,0.231,0.524,0.909,0.920,0.381,0.081,0.735,0.536,0.947,0.746
0.865,0.262,0.421,0.283,0.552,0.806,0.841,0.446,0.046,0.744,0.317,0.707,0.676
0.127,0.262,0.421,0.278,0.438,0.769,0.784,0.472,0.117,0.687,0.662,0.902,0.620
0.058,0.262,0.608,0.283,0.533,0.809,0.833,0.151,0.137,0.724,0.429,0.729,0.535
0.359,0.262,0.421,0.255,0.486,0.831,0.862,0.397,0.046,0.745,0.491,0.729,0.634
0.050,0.078,0.421,0.292,0.562,0.802,0.811,0.199,0.046,0.689,0.479,0.857,0.662
0.024,0.262,0.842,0.259,0.657,0.817,0.829,0.236,0.117,0.701,0.203,0.624,0.423
0.058,0.262,0.421,0.264,0.438,0.776,0.811,0.309,0.086,0.733,0.563,0.759,0.662
0.085,0.262,0.421,0.226,0.686,0.804,0.835,0.204,0.076,0.735,0.613,0.722,0.606
0.071,0.262,0.421,0.288,0.400,0.810,0.852,0.389,0.066,0.762,0.574,0.820,0.592
0.190,0.262,0.494,0.278,0.410,0.800,0.831,0.243,0.096,0.735,0.280,0.820,0.676
0.061,0.262,0.421,0.274,0.457,0.844,0.850,0.446,0.046,0.698,0.420,0.752,0.662
0.083,0.262,0.842,0.231,0.476,0.768,0.805,0.217,0.127,0.734,0.670,0.835,0.577
0.070,0.262,0.842,0.302,0.533,0.708,0.769,0.226,0.117,0.761,0.435,0.609,0.380
0.266,0.262,0.703,0.278,0.562,0.809,0.846,0.228,0.127,0.751,0.390,0.624,0.563
0.058,0.262,0.842,0.217,0.476,0.766,0.801,0.169,0.198,0.730,0.248,0.842,0.662
0.052,0.155,0.421,0.288,0.467,0.851,0.848,0.337,0.107,0.681,0.560,0.857,0.746
0.058,0.262,0.832,0.292,0.657,0.791,0.839,0.129,0.203,0.768,0.472,0.789,0.563
0.266,0.262,0.421,0.269,0.410,0.809,0.834,0.308,0.066,0.724,0.545,0.910,0.718
0.018,0.078,0.421,0.250,0.381,0.784,0.857,0.427,0.066,0.817,0.414,0.624,0.690
0.215,0.231,0.842,0.193,0.543,0.787,0.837,0.143,0.117,0.770,0.298,0.594,0.366
0.080,0.262,0.497,0.278,0.410,0.802,0.790,0.525,0.071,0.643,0.371,0.602,0.394
0.093,0.262,0.421,0.283,0.486,0.834,0.856,0.185,0.117,0.728,0.531,0.639,0.437
0.338,0.262,0.421,0.330,0.552,0.746,0.715,0.223,0.264,0.578,0.472,0.850,0.704
0.126,0.262,0.421,0.269,0.410,0.707,0.717,0.349,0.289,0.651,0.356,0.880,0.648
0.080,0.078,0.421,0.274,0.390,0.797,0.783,0.520,0.152,0.636,0.303,0.662,0.549
0.100,0.262,0.842,0.292,0.571,0.771,0.819,0.139,0.178,0.758,0.307,0.699,0.535
0.051,0.262,0.421,0.283,0.438,0.747,0.785,0.431,0.076,0.726,0.255,0.940,0.704
0.082,0.165,0.421,0.231,0.467,0.771,0.785,0.167,0.096,0.687,0.571,0.586,0.535
0.148,0.262,0.421,0.241,0.495,0.784,0.826,0.291,0.117,0.751,0.681,0.767,0.563
0.144,0.262,0.421,0.259,0.438,0.835,0.865,0.352,0.091,0.747,0.397,0.632,0.493
0.070,0.262,0.842,0.278,0.467,0.787,0.848,0.236,0.051,0.792,0.804,0.752,0.563
0.287,0.262,0.421,0.269,0.457,0.772,0.771,0.323,0.132,0.654,0.595,0.872,0.662
0.133,0.209,0.421,0.269,0.429,0.797,0.763,0.414,0.162,0.593,0.245,0.594,0.549
0.076,0.262,0.421,0.335,0.343,0.563,0.581,0.258,0.284,0.608,0.633,0.722,0.577
0.045,0.262,0.421,0.283,0.514,0.734,0.789,0.242,0.127,0.759,0.280,0.692,0.507
0.003,0.262,0.842,0.269,0.552,0.807,0.848,0.205,0.213,0.758,0.461,0.820,0.648
0.054,0.262,0.421,0.250,0.505,0.828,0.870,0.265,0.091,0.771,0.645,0.865,0.704
0.065,0.212,0.421,0.283,0.419,0.813,0.804,0.350,0.203,0.652,0.723,0.729,0.634
0.069,0.262,0.661,0.259,0.457,0.795,0.819,0.195,0.142,0.717,0.470,0.820,0.634
0.063,0.262,0.421,0.259,0.533,0.800,0.833,0.192,0.086,0.740,0.736,0.744,0.535
0.339,0.262,0.421,0.255,0.419,0.845,0.809,0.455,0.127,0.609,0.433,0.534,0.535
0.085,0.262,0.421,0.274,0.371,0.725,0.666,0.456,0.335,0.508,0.764,0.820,0.606
0.153,0.195,0.517,0.250,0.571,0.805,0.774,0.418,0.127,0.603,0.353,0.835,0.690
0.083,0.262,0.842,0.241,0.581,0.799,0.847,0.097,0.173,0.771,0.287,0.699,0.592
0.146,0.262,0.421,0.292,0.457,0.834,0.869,0.447,0.036,0.758,0.640,0.925,0.620
0.155,0.262,0.842,0.250,0.457,0.727,0.797,0.363,0.142,0.787,0.317,0.812,0.662
0.497,0.262,0.842,0.278,0.762,0.832,0.859,0.108,0.173,0.740,0.492,0.812,0.634
0.148,0.262,0.421,0.302,0.362,0.752,0.777,0.235,0.157,0.703,0.409,0.902,0.704
0.193,0.151,0.842,0.302,0.381,0.629,0.555,0.363,0.325,0.438,0.490,0.895,0.704
0.052,0.262,0.421,0.307,0.467,0.817,0.815,0.405,0.030,0.670,0.161,0.917,0.732
0.146,0.262,0.421,0.236,0.410,0.787,0.836,0.291,0.107,0.768,0.287,0.459,0.366
0.114,0.262,0.421,0.278,0.314,0.865,0.880,0.398,0.046,0.726,0.362,0.662,0.577
0.196,0.262,0.421,0.222,0.381,0.793,0.832,0.479,0.046,0.749,0.774,0.820,0.648
0.205,0.078,0.842,0.241,0.581,0.779,0.801,0.436,0.173,0.707,0.151,0.511,0.507
0.347,0.262,0.421,0.250,0.457,0.752,0.819,0.299,0.112,0.791,0.258,0.835,0.634
0.091,0.262,0.842,0.288,0.552,0.833,0.817,0.423,0.061,0.646,0.456,0.789,0.634
0.085,0.262,0.842,0.245,0.629,0.767,0.843,0.192,0.102,0.818,0.637,0.782,0.676
0.140,0.262,0.842,0.302,0.495,0.775,0.832,0.307,0.086,0.780,0.204,0.827,0.606
0.030,0.262,0.421,0.217,0.629,0.821,0.843,0.243,0.127,0.724,0.426,0.812,0.592
0.277,0.262,0.421,0.208,0.476,0.729,0.798,0.201,0.132,0.787,0.545,0.895,0.704
0.082,0.169,0.821,0.264,0.505,0.816,0.848,0.171,0.137,0.743,0.326,0.774,0.606
0.072,0.262,0.261,0.241,0.495,0.829,0.862,0.298,0.041,0.749,0.737,0.767,0.535
0.088,0.262,0.421,0.269,0.438,0.863,0.865,0.260,0.122,0.698,0.512,0.669,0.577
0.096,0.262,0.788,0.259,0.514,0.802,0.858,0.235,0.213,0.789,0.556,0.842,0.535
0.066,0.184,0.421,0.269,0.610,0.823,0.864,0.304,0.076,0.765,0.316,0.887,0.690
0.453,0.078,0.842,0.236,0.676,0.788,0.824,0.095,0.264,0.740,0.330,0.414,0.606
0.217,0.273,0.842,0.297,0.514,0.823,0.854,0.141,0.198,0.743,0.497,0.820,0.606
0.042,0.262,0.842,0.307,0.457,0.791,0.852,0.190,0.183,0.796,0.601,0.895,0.746
0.083,0.078,0.421,0.278,0.533,0.840,0.856,0.284,0.066,0.718,0.504,0.729,0.634
0.081,0.262,0.421,0.316,0.533,0.756,0.788,0.129,0.157,0.717,0.637,0.917,0.732
0.146,0.262,0.842,0.269,0.419,0.609,0.679,0.294,0.173,0.738,0.230,0.842,0.690
0.141,0.262,0.421,0.264,0.419,0.841,0.785,0.286,0.107,0.565,0.603,0.895,0.704
0.087,0.262,0.421,0.236,0.533,0.857,0.856,0.372,0.117,0.688,0.530,0.850,0.634
0.066,0.183,0.421,0.278,0.438,0.824,0.847,0.402,0.025,0.728,0.765,0.902,0.577
0.067,0.185,0.483,0.255,0.476,0.777,0.831,0.358,0.066,0.774,0.457,0.835,0.676
0.225,0.262,0.421,0.288,0.390,0.861,0.884,0.379,0.010,0.742,0.456,0.872,0.676
0.226,0.262,0.421,0.307,0.352,0.711,0.684,0.440,0.152,0.574,0.598,0.895,0.704
0.083,0.153,0.421,0.245,0.429,0.864,0.886,0.603,0.051,0.740,0.228,0.865,0.648
0.857,0.262,0.345,0.269,0.324,0.740,0.798,0.602,0.076,0.768,0.525,0.632,0.535
0.091,0.262,0.421,0.292,0.543,0.760,0.797,0.316,0.056,0.731,0.530,0.887,0.718
0.144,0.262,0.421,0.302,0.371,0.712,0.673,0.296,0.244,0.549,0.425,0.714,0.563
0.057,0.262,0.462,0.283,0.457,0.809,0.865,0.412,0.061,0.790,0.299,0.925,0.704
0.157,0.159,0.392,0.311,0.438,0.831,0.879,0.425,0.030,0.782,0.332,0.722,0.634
0.277,0.250,0.842,0.297,0.676,0.829,0.863,0.148,0.086,0.753,0.682,0.812,0.676
0.065,0.262,0.421,0.245,0.495,0.842,0.857,0.286,0.051,0.717,0.480,0.842,0.648
0.059,0.262,0.421,0.264,0.448,0.826,0.861,0.393,0.066,0.753,0.477,0.962,0.775
0.055,0.078,0.842,0.217,0.438,0.837,0.890,0.279,0.188,0.798,0.610,0.865,0.634
0.034,0.262,0.421,0.259,0.457,0.830,0.846,0.415,0.112,0.714,0.708,0.752,0.493
0.071,0.262,0.421,0.236,0.505,0.789,0.823,0.196,0.188,0.737,0.701,0.586,0.408
0.131,0.078,0.842,0.236,0.648,0.825,0.863,0.188,0.112,0.759,0.488,0.722,0.592
0.074,0.078,0.421,0.264,0.514,0.784,0.824,0.348,0.086,0.746,0.501,0.820,0.620
0.118,0.262,0.421,0.297,0.429,0.807,0.846,0.241,0.046,0.754,0.597,0.714,0.634
0.074,0.078,0.421,0.274,0.438,0.729,0.715,0.173,0.168,0.607,0.245,0.421,0.634
0.442,0.162,0.842,0.278,0.495,0.822,0.838,0.320,0.122,0.710,0.204,0.632,0.690
0.080,0.262,0.421,0.264,0.486,0.828,0.829,0.310,0.193,0.681,0.352,0.714,0.479
0.261,0.262,0.421,0.269,0.467,0.816,0.844,0.209,0.036,0.735,0.505,0.842,0.606
0.054,0.262,0.577,0.208,0.495,0.804,0.843,0.278,0.056,0.754,0.454,0.797,0.648
0.140,0.262,0.421,0.292,0.429,0.756,0.727,0.307,0.168,0.588,0.754,0.556,0.493
0.071,0.171,0.842,0.259,0.429,0.828,0.851,0.282,0.107,0.727,0.275,0.774,0.606
0.121,0.262,0.842,0.288,0.495,0.811,0.861,0.207,0.107,0.778,0.146,0.850,0.662
0.073,0.262,0.421,0.259,0.581,0.866,0.863,0.346,0.112,0.689,0.701,0.805,0.620
0.082,0.157,0.421,0.278,0.495,0.773,0.797,0.387,0.076,0.709,0.630,0.880,0.704
0.113,0.186,0.421,0.255,0.362,0.778,0.786,0.269,0.117,0.676,0.160,0.880,0.648
0.080,0.078,0.421,0.259,0.476,0.761,0.790,0.166,0.107,0.714,0.679,0.827,0.662
0.076,0.262,0.421,0.264,0.533,0.738,0.765,0.188,0.188,0.700,0.401,0.744,0.493
0.055,0.078,0.842,0.236,0.476,0.812,0.852,0.112,0.198,0.759,0.244,0.850,0.577
0.046,0.188,0.421,0.241,0.400,0.658,0.677,0.318,0.178,0.650,0.486,0.789,0.662
0.354,0.262,0.842,0.250,0.429,0.789,0.840,0.201,0.066,0.771,0.518,0.602,0.465
0.286,0.078,0.421,0.288,0.305,0.835,0.870,0.447,0.086,0.758,0.719,0.684,0.577
0.049,0.262,0.842,0.269,0.448,0.767,0.811,0.310,0.178,0.750,0.140,0.842,0.620
0.012,0.169,0.842,0.255,0.552,0.722,0.796,0.219,0.213,0.795,0.195,0.895,0.676
0.224,0.262,0.842,0.255,0.448,0.695,0.721,0.255,0.218,0.680,0.089,0.827,0.718
0.069,0.262,0.421,0.245,0.486,0.794,0.821,0.213,0.096,0.724,0.752,0.729,0.606
0.067,0.262,0.842,0.292,0.419,0.814,0.820,0.109,0.178,0.686,0.342,0.609,0.535
0.226,0.262,0.842,0.198,0.333,0.588,0.584,0.256,0.213,0.571,0.458,0.556,0.535
0.009,0.262,0.842,0.264,0.448,0.828,0.871,0.217,0.127,0.771,0.656,0.617,0.380
0.088,0.186,0.421,0.259,0.571,0.751,0.794,0.296,0.249,0.740,0.445,0.940,0.690
0.058,0.156,0.421,0.222,0.429,0.825,0.883,0.269,0.071,0.802,0.576,0.692,0.465
0.299,0.262,0.421,0.274,0.543,0.821,0.823,0.350,0.041,0.681,0.383,0.925,0.704
0.158,0.078,0.571,0.217,0.514,0.871,0.881,0.262,0.086,0.719,0.402,0.812,0.620
0.267,0.239,0.842,0.259,0.514,0.821,0.865,0.285,0.102,0.771,0.134,0.910,0.718
0.029,0.179,0.421,0.184,0.448,0.799,0.812,0.128,0.137,0.695,0.536,0.684,0.577
0.011,0.262,0.842,0.231,0.514,0.764,0.817,0.107,0.289,0.768,0.368,0.737,0.606
0.079,0.222,0.421,0.307,0.467,0.645,0.658,0.318,0.168,0.632,0.550,0.902,0.690
0.127,0.262,0.421,0.259,0.514,0.774,0.706,0.350,0.157,0.511,0.769,0.594,0.352
