time_betw_scan_hours,CA,YM,2/1 mM Glu/Lac [mM],1 mM H2O2 [mM],40/25 mM glu/lac høj O2,40/25 mM glu/lac lav O2,Sensitivity [pA/µM],t on 10/5 mM glu/lac [s],Lav O2 - Høj O2,50 mM Mannose,35 mM Glycolsyre,2 mM PAM
4844.000,3.000,6.000,1.960,9.900,41.580,39.530,878.000,6.200,-2.050,15.990,-0.280,0.000
254.000,2.000,6.034,1.990,9.300,41.030,39.660,802.000,7.100,-1.370,10.410,-0.100,-0.020
3244.000,3.000,6.423,2.070,10.700,40.690,40.300,315.000,6.100,-0.390,10.790,-0.200,-0.080
4084.000,3.000,6.000,2.010,10.700,39.720,38.660,269.000,9.400,-1.060,12.020,-0.500,-0.180
3768.000,3.000,6.000,2.020,10.100,40.890,40.350,458.000,5.200,-0.540,14.410,-0.220,-0.050
154.000,3.000,6.000,2.030,11.600,40.250,40.420,575.000,4.600,0.170,11.350,-0.040,0.030
1412.000,2.915,6.000,1.990,10.400,40.970,39.780,824.000,6.000,-1.190,8.140,-0.130,-0.010
3193.000,3.000,6.000,2.060,10.800,41.640,40.970,515.000,4.900,-0.670,14.030,-0.050,0.020
8661.000,3.000,6.000,2.130,10.200,39.790,37.270,663.000,6.500,-2.520,12.510,-0.080,0.030
1904.000,3.000,6.000,2.020,10.700,41.170,40.220,451.000,5.400,-0.950,11.390,-0.340,-0.060
997.000,3.000,7.000,1.930,11.800,40.080,38.880,277.000,10.000,-1.200,13.540,-0.040,0.010
1013.000,2.457,6.000,1.980,10.700,42.770,41.690,732.000,7.800,-1.080,10.590,-0.090,-0.040
6241.000,3.000,6.000,2.020,10.700,40.220,37.950,492.000,5.600,-2.270,11.860,-0.150,-0.110
2008.000,3.000,7.000,2.070,11.600,40.470,39.830,272.000,7.600,-0.640,10.210,-0.310,-0.110
2497.000,3.000,6.000,1.950,10.100,40.670,39.880,358.000,5.800,-0.790,10.860,-0.120,-0.090
2127.000,2.560,7.000,1.930,11.300,40.540,39.690,339.000,7.000,-0.850,12.670,-0.610,-0.220
1797.000,3.000,6.000,1.890,12.200,41.740,41.390,398.000,5.600,-0.350,14.320,-0.480,-0.130
1560.000,2.000,6.000,2.190,9.200,39.770,36.610,564.000,7.100,-3.160,15.040,-0.020,0.020
17227.000,2.000,6.000,2.000,9.800,40.840,38.230,534.000,5.600,-2.610,11.260,-0.080,0.010
2587.000,3.000,6.000,2.090,11.300,40.900,39.850,417.000,6.400,-1.050,12.400,-0.220,-0.110
84.000,3.000,7.000,2.000,13.600,42.180,41.730,546.000,6.400,-0.450,12.900,-0.190,-0.030
1801.000,3.000,6.000,1.900,10.800,41.380,40.810,362.000,4.400,-0.570,14.190,-0.320,-0.100
4941.000,3.000,7.000,2.040,11.600,40.990,39.860,473.000,5.800,-1.130,8.470,-0.080,-0.030
390.000,3.000,5.988,1.980,9.800,40.950,40.110,646.000,5.600,-0.840,11.230,-0.090,0.000
802.000,3.000,6.000,2.020,9.700,40.630,39.160,341.000,5.800,-1.470,14.570,-0.350,-0.020
4295.000,3.000,7.000,2.010,9.600,41.460,39.960,553.000,6.900,-1.500,11.710,-0.090,-0.040
4885.000,3.000,7.000,1.970,10.900,41.460,40.480,472.000,9.200,-0.980,10.140,-0.420,-0.070
1435.000,3.000,7.000,2.070,10.800,40.920,39.830,331.000,6.900,-1.090,8.250,-0.140,-0.060
842.000,3.000,6.000,1.980,9.800,40.560,39.810,509.000,6.800,-0.750,10.750,-0.210,-0.070
1545.000,2.000,6.000,1.990,12.100,41.580,40.790,556.000,4.800,-0.790,11.940,-0.170,0.030
1443.000,3.000,7.000,2.010,10.500,39.460,37.680,361.000,6.800,-1.780,12.790,-0.360,-0.110
1466.000,3.000,6.686,1.950,10.700,41.460,40.410,470.000,5.800,-1.050,13.480,-0.360,-0.060
1330.000,2.576,6.000,2.020,12.000,41.270,40.700,491.000,5.600,-0.570,10.300,-0.060,0.000
2662.000,3.000,6.000,1.950,12.000,40.540,39.790,334.000,5.800,-0.750,13.200,-0.110,0.030
110.000,3.000,6.000,1.950,10.700,40.580,39.980,490.000,6.000,-0.600,13.020,-0.030,-0.060
44.000,3.000,6.547,2.040,11.500,41.520,40.710,392.000,5.300,-0.810,14.190,-0.340,-0.160
1436.000,3.000,6.000,2.050,9.700,39.380,37.540,716.000,6.800,-1.840,14.530,-0.040,0.010
2935.000,2.000,7.000,1.950,10.000,40.880,40.530,348.000,6.800,-0.350,11.330,-0.160,-0.040
