time_betw_scan_hours,CA,YM,2/1 mM Glu/Lac [mM],1 mM H2O2 [mM],40/25 mM glu/lac høj O2,Sensitivity [pA/µM],t on 10/5 mM glu/lac [s],Lav O2 - Høj O2,Class
0.068,0.550,0.460,0.184,0.246,0.515,0.134,0.060,0.065,1.000
0.151,0.625,0.714,0.124,0.263,0.554,0.427,0.093,0.065,1.000
0.003,0.575,0.791,0.216,0.544,0.361,0.471,0.153,0.040,1.000
0.067,0.604,0.498,0.195,0.175,0.336,0.184,0.098,0.161,1.000
0.241,0.615,0.360,0.205,0.175,0.452,0.140,0.153,0.108,1.000
0.137,0.509,0.709,0.092,0.105,0.545,0.376,0.142,0.020,1.000
0.055,0.825,0.669,0.092,0.088,0.204,0.084,0.164,0.090,1.000
0.006,0.494,0.772,0.097,0.000,0.457,0.309,0.038,0.007,1.000
0.089,0.717,0.466,0.157,0.088,0.533,0.312,0.077,0.017,1.000
0.069,0.742,0.285,0.103,0.035,0.527,0.074,0.005,0.061,1.000
0.074,0.997,0.826,0.157,0.316,0.419,0.249,0.066,0.078,1.000
0.066,0.842,0.377,0.141,0.000,0.553,0.128,0.000,0.005,1.000
0.301,0.459,0.559,0.178,0.070,0.407,0.158,0.077,0.121,1.000
0.027,0.641,0.964,0.211,0.509,0.334,0.422,0.038,0.088,1.000
0.078,0.481,0.638,0.205,0.000,0.489,0.357,0.077,0.013,1.000
0.066,0.021,0.520,0.162,0.351,0.564,0.057,0.016,0.005,1.000
0.134,0.556,0.251,0.043,0.018,0.392,0.214,0.022,0.010,1.000
0.059,0.625,0.696,0.178,0.158,0.545,0.297,0.066,0.065,1.000
0.191,0.785,0.883,0.189,0.123,0.434,0.379,0.169,0.038,1.000
0.262,0.640,0.481,0.151,0.035,0.594,0.042,0.049,0.040,1.000
0.025,0.475,0.590,0.168,0.140,0.508,0.228,0.071,0.027,1.000
0.066,0.898,0.502,0.151,0.053,0.466,0.177,0.066,0.066,1.000
0.343,0.426,0.528,0.184,0.105,0.478,0.098,0.000,0.071,1.000
0.057,0.482,0.392,0.238,0.035,0.531,0.069,0.071,0.056,1.000
0.046,0.575,0.586,0.108,0.070,0.401,0.120,0.120,0.053,1.000
0.770,0.353,0.170,0.119,0.035,0.568,0.001,0.011,0.046,1.000
