time_betw_scan_hours,CA,YM,Class,2/1 mM Glu/Lac [mM],1 mM H2O2 [mM],40/25 mM glu/lac høj O2,Sensitivity [pA/µM],t on 10/5 mM glu/lac [s],Lav O2 - Høj O2
1265.000,2.621,6.254,1.000,0.370,0.700,4.810,302.000,0.900,0.480
1533.000,2.620,5.769,1.000,0.200,0.200,4.120,124.000,0.900,0.340
1978.000,2.539,6.026,1.000,0.320,0.500,3.730,308.000,1.100,1.080
4361.000,2.348,5.829,1.000,0.180,0.100,1.860,31.000,0.200,1.090
1993.000,2.639,6.209,1.000,0.340,2.700,4.960,63.000,0.800,0.030
2942.000,2.627,6.344,1.000,0.380,0.800,3.980,113.000,1.000,0.340
4057.000,2.670,6.527,1.000,0.320,1.500,4.030,261.000,0.400,0.420
1729.000,2.857,6.592,1.000,0.270,0.100,3.590,99.000,2.000,0.530
1612.000,2.459,6.561,1.000,0.340,0.800,4.600,51.000,0.700,1.220
5473.000,2.630,5.875,1.000,0.240,1.300,4.190,207.000,0.700,0.790
5197.000,2.790,5.970,1.000,0.170,0.200,4.020,24.000,0.500,0.910
1728.000,2.644,6.243,1.000,0.270,3.000,4.270,164.000,0.400,0.280
18415.000,2.732,5.830,1.000,0.190,0.200,4.160,45.000,0.300,1.720
3229.000,2.592,6.175,1.000,0.170,0.400,3.770,34.000,1.500,2.290
5375.000,2.796,6.120,1.000,0.280,0.400,4.450,186.000,1.200,0.600
1496.000,2.680,6.009,1.000,0.170,1.400,3.480,187.000,0.400,0.310
5400.000,2.745,6.047,1.000,0.250,0.400,4.320,115.000,0.000,0.560
1688.000,2.397,6.504,1.000,0.310,1.900,4.530,224.000,0.300,0.220
1663.000,2.540,6.151,1.000,0.340,1.600,4.500,9.000,1.800,0.140
1344.000,2.747,6.913,1.000,0.260,0.100,3.740,83.000,1.400,0.340
1494.000,2.608,6.752,1.000,0.270,1.700,4.200,261.000,1.000,0.810
269.000,2.580,5.966,1.000,0.320,0.600,5.140,37.000,0.300,0.130
3138.000,2.483,6.517,1.000,0.280,1.100,2.990,240.000,0.000,0.670
6127.000,2.501,6.355,1.000,0.280,1.100,3.470,291.000,0.800,0.270
907.000,2.483,5.860,1.000,0.310,0.100,4.780,38.000,0.000,0.180
5730.000,2.536,6.655,1.000,0.420,1.200,4.630,267.000,0.800,0.080
1122.000,2.616,7.255,1.000,0.220,0.900,5.420,318.000,2.500,0.210
1550.000,2.451,6.498,1.000,0.310,0.700,3.330,309.000,1.700,0.580
1539.000,2.751,5.986,1.000,0.240,0.300,4.320,204.000,0.600,0.110
2444.000,2.707,6.612,1.000,0.410,0.200,3.600,289.000,0.400,0.520
7221.000,2.860,6.353,1.000,0.340,1.200,4.720,315.000,2.400,0.310
955.000,2.570,6.229,1.000,0.240,0.800,4.110,252.000,0.500,0.240
7112.000,2.964,5.884,1.000,0.170,0.500,2.350,89.000,1.400,0.790
7135.000,2.659,6.744,1.000,0.300,0.700,5.890,228.000,1.500,0.820
2512.000,2.523,6.380,1.000,0.330,1.700,4.680,191.000,1.300,0.090
1853.000,2.527,6.146,1.000,0.270,0.000,2.810,19.000,0.400,0.910
1401.000,2.836,5.814,1.000,0.190,0.200,4.520,58.000,0.100,0.370
1142.000,2.935,7.281,1.000,0.240,1.600,4.240,336.000,2.700,0.280
8176.000,2.887,6.491,1.000,0.250,0.000,5.190,154.000,0.600,0.770
2275.000,2.521,5.910,1.000,0.210,0.700,5.320,177.000,0.400,0.360
1358.000,2.641,6.364,1.000,0.350,0.200,3.470,196.000,1.200,0.440
1359.000,2.530,5.524,1.000,0.220,1.100,5.190,75.000,1.200,0.320
3036.000,2.713,6.768,1.000,0.230,1.500,4.750,335.000,1.700,0.390
1504.000,2.663,6.633,1.000,0.220,0.400,3.930,224.000,1.400,0.520
1269.000,2.672,5.979,1.000,0.280,0.600,4.770,15.000,0.300,0.140
1669.000,2.622,6.520,1.000,0.330,0.300,4.680,304.000,0.300,0.590
233.000,2.867,6.221,1.000,0.280,3.000,5.230,305.000,0.100,0.580
