bcr_dir,RunNumberPartNumberID,RunNumber,PartNumber,ca_time,ym_time,Sensor,BoardNumber,ArrayNumber,time_betw_scan_min,CA,CA Humidity,CA Temperature,YM,YM Humidity,YM Temperature,CA_cav_dia,CA_void_cav,CA_cav_depth,Ca_void_mem,CA_overlap_min,CA_overlap_max,YM_void_mem,Class,Tid efter start [timer],2/1 mM Glu/Lac [mM],1 mM H2O2 [mM],40/25 mM glu/lac hoj O2,Sensitivity [pA/M],t on 10/5 mM glu/lac [s],Lav O2 - Hoj O2
,28398,R29709,932-029,03-05-2021 12:18,05-05-2021 10:12,Glu,2,12,2019,2.125,35.18,24.97,6.438,29.46,25.69,1192.66,22.820999999999998,63.625,30.726,137.153,211.005,30.215,Failed,4.88,0.24,2.6,3.85,484,0.1,0.43
,28435,R29728,932-029,04-05-2021 04:48,05-05-2021 06:20,Glu,1,10,1223,2.488,34.05,27.09,5.648,28.5,26.29,1171.25,21.43,60.746,31.105,115.62,162.91899999999995,30.189,Failed,4.9,0.24,0.3,4.31,447,0.9,0.53
,28323,R29668,932-029,29-04-2021 04:14,04-05-2021 23:10,Glu,2,14,5949,2.205,33.3,26.31,6.209,27.85,26.66,1185.5,22.581999999999997,58.315,30.798000000000002,110.77799999999999,211.005,29.611,Failed,2.35,0.3,1.8,3.21,469,0.3,0.49
,28338,R29683,932-029,01-05-2021 13:06,04-05-2021 19:50,Glu,1,2,3949,2.45,32.32,25.43,5.879,27.43,26.59,1164.58,21.558000000000003,58.343999999999994,31.303,99.853,199.707,31.885,Failed,2.72,0.27,1.0,4.59,605,1.2,0.35
,28385,R29696,932-029,04-05-2021 03:30,04-05-2021 19:24,Glu,3,9,886,2.488,33.15,27.49,5.695,28.45,26.63,1168.24,25.021,55.718999999999994,31.07800000000001,105.541,168.865,35.902,Failed,0.82,0.24,0.4,3.68,515,0.4,1.07
,28292,R29655,932-029,02-05-2021 13:16,04-05-2021 17:16,Glu,3,11,2988,2.272,29.92,26.96,5.256,28.89,26.15,1162.56,22.831999999999997,66.194,32.986,99.853,168.174,33.196,Failed,2.23,0.24,0.0,2.71,661,0.5,0.41
,28395,R29706,932-029,03-05-2021 09:50,04-05-2021 15:54,Glu,1,11,1519,2.36,30.54,27.21,5.532,29.5,25.25,1172.62,23.671,61.976000000000006,27.16,104.992,209.984,33.319,Failed,0.87,0.29,0.5,3.83,565,0.9,0.27
,28299,R29662,932-029,29-04-2021 01:44,04-05-2021 12:12,Glu,8,3,7194,2.447,32.35,27.04,5.438,27.8,26.93,1166.85,21.11,60.486999999999995,30.787,115.62,210.218,29.386999999999997,Failed,1.22,0.26,0.7,3.87,550,0.3,0.08
,28393,R29704,932-029,02-05-2021 13:06,04-05-2021 10:54,Glu,8,5,2284,2.484,29.95,26.95,6.724,26.97,26.91,1176.49,24.427,62.405,28.195,41.997,194.235,32.327,Failed,0.95,0.31,0.1,3.36,489,1.2,0.17
,28337,R29682,932-029,01-05-2021 09:16,04-05-2021 08:20,Glu,4,9,3213,2.815,28.22,27.07,6.023,28.35,26.1,1201.0,21.284000000000002,56.133,31.276999999999997,110.36399999999999,194.452,31.511999999999997,Failed,4.77,0.27,0.8,4.05,1121,0.7,0.32
,28332,R29677,932-029,02-05-2021 12:22,04-05-2021 06:06,Glu,2,6,2989,2.331,30.17,26.82,5.774,28.76,26.12,1169.43,22.86,57.542,31.005,116.053,211.005,30.590999999999998,Failed,2.33,0.29,1.3,3.49,823,0.9,0.04
