bcr_dir,RunNumber,PartNumber,Teststart,Sensor,BoardNr,ArrayNr,Class,Tid efter start [timer],2/1 mM Glu/Lac [mM],1 mM H2O2 [mM],40/25 mM glu/lac høj O2,Sensitivity [pA/µM],t on 10/5 mM glu/lac [s],Lav O2 - Høj O2
,R29190,932-029,12-04-2021 07:26,Glu,3,8,Approved,6.87,0.19,1.1,3.37,149,0.1,0.68
,R29190,932-029,12-04-2021 07:26,Glu,8,16,Approved,6.87,0.24,1.3,3.76,251,0.4,0.87
,R29190,932-029,12-04-2021 07:26,Glu,1,16,Approved,6.92,0.23,1.8,3.85,339,0.5,1.06
,R29190,932-029,12-04-2021 07:26,Glu,2,1,Approved,6.87,0.27,1.5,3.84,268,0.6,1.05
,R29168,932-029,12-04-2021 07:26,Glu,8,8,Approved,6.9,0.35,2.3,2.93,234,2.8,0.07
,R29168,932-029,12-04-2021 07:26,Glu,1,13,Approved,7.02,0.29,3.2,3.8,350,2.7,0.52
,R29168,932-029,12-04-2021 07:26,Glu,2,8,Approved,6.97,0.28,1.7,4.54,28,0.6,0.65
,R29168,932-029,12-04-2021 07:26,Glu,3,6,Approved,7,0.32,1.8,3.87,168,0.9,0.85
,R29226,932-029,12-04-2021 07:24,Glu,1,3,Approved,6.88,0.22,0.5,2.74,167,0.2,0.18
,R29226,932-029,12-04-2021 07:24,Glu,8,16,Approved,6.87,0.28,1.7,4.07,399,1.9,0.46
,R29226,932-029,12-04-2021 07:24,Glu,3,8,Approved,6.87,0.21,0.6,2.86,64,0.1,0.91
,R29114,932-029,12-04-2021 07:24,Glu,3,13,Approved,6.88,0.26,0.4,2.69,277,2.3,0.71
,R29114,932-029,12-04-2021 07:24,Glu,2,10,Approved,6.87,0.25,1,4.61,28,0.2,0.54
,R29114,932-029,12-04-2021 07:24,Glu,1,16,Approved,7,0.17,1,3.06,164,2.9,0.64
,R29114,932-029,12-04-2021 07:24,Glu,8,2,Approved,6.88,0.22,0.3,2.76,47,1.2,0.67
,R29193,932-029,12-04-2021 07:22,Glu,1,10,Approved,6.95,0.26,1.7,3.92,87,0.3,0.9
,R29193,932-029,12-04-2021 07:22,Glu,2,2,Approved,6.98,0.25,1.1,4.06,11,1,0.64
,R29193,932-029,12-04-2021 07:22,Glu,3,1,Approved,6.9,0.22,1.3,4.35,124,0.2,0.84
,R29193,932-029,12-04-2021 07:22,Glu,8,16,Approved,6.98,0.24,1.4,4.07,82,0.2,0.85
,R29195,932-029,12-04-2021 07:22,Glu,8,15,Approved,6.87,0.21,1.7,3.03,109,0.5,1.33
,R29195,932-029,12-04-2021 07:22,Glu,2,13,Approved,6.83,0.24,2.6,3.54,237,1.8,0.89
,R29195,932-029,12-04-2021 07:22,Glu,1,1,Approved,6.85,0.25,2.6,3.06,18,0.5,0.63
,R29195,932-029,12-04-2021 07:22,Glu,3,4,Approved,6.87,0.25,3.2,3.03,376,0.7,0.94
,R29240,932-029,12-04-2021 07:22,Glu,2,16,Approved,6.08,0.27,1.2,3.66,214,0.3,0.71
,R29240,932-029,12-04-2021 07:22,Glu,8,9,Approved,5.88,0.24,0.9,3.5,140,0.2,0.76
,R29240,932-029,12-04-2021 07:22,Glu,1,1,Approved,5.97,0.26,1,3.69,163,0.3,0.61
,R29211,932-029,12-04-2021 07:21,Glu,2,1,Approved,6.97,0.22,2.1,4.06,146,1,0.34
,R29211,932-029,12-04-2021 07:21,Glu,1,10,Approved,6.9,0.31,0.7,2.23,262,4.6,0.49
,R29211,932-029,12-04-2021 07:21,Glu,8,10,Approved,6.9,0.27,2.2,3.66,266,0.3,0.99
,R29211,932-029,12-04-2021 07:21,Glu,3,16,Approved,6.9,0.21,2.8,3.85,120,0,0.77
,R29148,932-029,12-04-2021 07:21,Glu,2,2,Approved,5.93,0.28,1.1,3.58,240,0.1,1
,R29148,932-029,12-04-2021 07:21,Glu,3,9,Approved,5.93,0.26,1,3.13,192,0.6,0.52
,R29148,932-029,12-04-2021 07:21,Glu,1,1,Approved,5.97,0.27,1.5,3.92,212,0.4,0.9
,R29148,932-029,12-04-2021 07:21,Glu,8,16,Approved,5.93,0.25,1.1,3.49,78,0.6,0.62
,R29232,932-029,12-04-2021 07:19,Glu,2,15,Approved,6,0.2,1.2,4.86,101,0.8,0.81
,R29232,932-029,12-04-2021 07:19,Glu,1,2,Approved,5.92,0.2,0.3,2.69,105,1.1,0.02
,R29232,932-029,12-04-2021 07:19,Glu,8,9,Approved,5.95,0.11,0.7,1.26,217,4.1,0.4
,R29238,932-029,12-04-2021 07:19,Glu,3,4,Approved,7.02,0.27,1,4.21,77,0.3,0.08
,R29238,932-029,12-04-2021 07:19,Glu,1,1,Approved,6.97,0.27,1.3,4.84,135,0.6,0.44
,R29238,932-029,12-04-2021 07:19,Glu,8,14,Approved,6.87,0.33,1.1,3.68,296,1.3,0.05
,R29238,932-029,12-04-2021 07:19,Glu,2,10,Approved,6.87,0.28,1.5,5.01,70,0.7,0.8
,R29187,932-029,12-04-2021 07:18,Glu,2,16,Approved,6.85,0.22,2.1,4.68,75,0.5,0.67
,R29187,932-029,12-04-2021 07:18,Glu,3,8,Approved,6.87,0.2,1.1,3.81,155,0,0.53
