time_betw_scan_hours,CA,YM,2/1 mM Glu/Lac [mM],1 mM H2O2 [mM],40/25 mM glu/lac høj O2,Sensitivity [pA/µM],t on 10/5 mM glu/lac [s],Lav O2 - Høj O2
5730,2.536,6.655,0.42,1.2,4.63,267,0.8,0.08
8735,2.63,5.831,0.28,0.6,4.42,221,0.0,0.09
1800,2.754,6.246,0.18,0.5,4.2,225,0.6,0.25
1232,2.578,6.041,0.28,1.4,3.27,156,0.9,0.43
1428,2.905,5.921,0.2,0.7,4.85,132,0.5,0.07
1776,2.743,6.238,0.28,0.0,2.13,2,1.0,0.89
1305,2.603,6.183,0.28,1.6,4.3,300,0.3,0.52
208,2.813,5.586,0.27,0.7,3.68,143,0.1,0.42
1857,2.679,6.459,0.25,0.7,4.51,131,0.4,0.36
85,2.433,7.285,0.24,1.2,4.01,94,1.6,0.33
519,2.862,5.933,0.21,0.8,3.0,117,1.0,0.39
6343,2.64,6.637,0.32,2.4,3.71,200,0.9,0.45
1172,2.523,6.072,0.38,0.4,4.61,68,0.8,0.13
1223,2.603,5.762,0.21,0.9,3.69,77,0.2,0.22
3869,2.72,6.436,0.16,0.9,3.83,134,1.7,0.93
1357,2.607,6.567,0.22,3.0,3.34,94,2.0,0.23
2516,2.924,6.728,0.22,1.0,3.65,245,4.2,0.51
2822,2.76,6.38,0.22,0.4,3.37,143,5.1,0.09
1292,2.607,6.78,0.25,1.2,4.37,247,0.1,0.5
3122,2.465,5.986,0.24,0.5,3.67,39,1.4,0.44
5756,2.67,5.766,0.14,1.2,4.9,202,0.5,0.18
7331,2.811,6.48,0.26,0.1,3.96,229,2.4,1.52
1545,2.69,6.522,0.19,0.3,2.92,26,2.9,1.4
2841,2.35,6.199,0.32,0.7,4.39,170,0.5,0.24
1286,2.691,6.213,0.28,0.7,5.54,153,0.0,0.44
3445,2.604,6.454,0.3,0.1,4.4,110,0.6,0.34
1415,2.323,6.074,0.24,0.4,4.32,163,1.5,0.39
1261,2.615,6.87,0.22,1.5,4.04,344,1.8,0.74
184,2.62,6.681,0.28,2.1,4.61,335,1.5,0.04
1247,2.512,6.96,0.27,1.8,4.2,69,2.7,0.26
1256,2.734,6.39,0.31,0.6,4.05,139,0.3,0.29
6673,2.465,5.409,0.17,0.3,5.17,152,1.3,0.64
77,2.375,6.56,0.29,0.8,3.92,266,1.2,0.38
3303,2.78,6.521,0.19,0.9,4.4,264,1.0,0.01
1329,2.55,5.621,0.24,0.3,4.91,111,1.0,0.52
1905,2.54,5.691,0.27,0.4,4.96,187,0.2,0.14
6155,2.463,5.146,0.16,1.2,5.2,15,0.8,0.12
1039,2.72,6.611,0.24,0.0,3.73,1,2.8,1.16
1621,2.548,6.999,0.15,1.9,4.85,339,2.2,0.06
185,2.868,5.72,0.21,0.0,3.36,80,1.9,1.87
545,2.82,6.691,0.32,0.3,3.79,163,2.8,0.21
1549,2.39,6.423,0.33,0.7,4.34,12,1.5,1.46
1337,2.633,6.586,0.43,0.7,3.44,235,2.0,0.71
1592,2.535,5.652,0.23,1.0,4.45,67,1.5,0.12
1806,2.752,6.67,0.2,1.7,4.55,253,1.0,0.78
1381,2.635,5.727,0.31,0.2,4.68,180,1.0,0.11
2837,2.811,6.681,0.22,0.1,1.03,161,4.0,0.45
1250,2.54,6.32,0.31,1.0,4.61,289,0.9,0.05
1621,2.596,6.382,0.27,2.3,4.52,313,1.9,0.21
1365,2.31,6.29,0.17,0.3,3.55,131,1.6,1.46
1767,2.617,5.339,0.28,0.4,3.57,209,0.4,0.55
3912,2.528,5.516,0.31,0.3,4.83,44,0.1,0.29
536,2.341,6.569,0.4,0.9,3.73,101,0.8,0.46
1978,2.539,6.026,0.32,0.5,3.73,308,1.1,1.08
4562,2.812,5.845,0.09,0.7,3.03,70,1.5,1.28
0,2.678,6.357,0.4,0.5,4.09,225,0.2,0.05
10,2.725,7.016,0.32,0.3,3.88,262,1.0,0.37
3130,2.605,6.05,0.28,0.4,3.77,18,0.9,0.54
1655,2.5,7.241,0.26,1.0,4.5,365,4.0,0.34
21358,2.641,5.861,0.26,0.9,4.27,117,0.8,0.64
1599,2.665,5.685,0.22,0.5,4.63,178,0.3,0.73
3293,2.677,7.021,0.3,2.4,4.45,284,2.3,0.21
740,2.488,6.772,0.39,0.1,3.77,19,0.1,0.42
2694,2.645,5.638,0.28,0.2,3.54,188,2.3,1.0
1169,2.395,6.033,0.31,1.5,3.56,346,0.2,0.86
1563,2.549,7.128,0.25,0.8,5.47,110,0.2,0.31
3000,2.745,6.26,0.35,0.2,4.48,9,0.5,0.04
2815,2.514,6.101,0.27,1.3,4.93,347,1.4,0.33
5197,2.79,5.97,0.17,0.2,4.02,24,0.5,0.91
4313,2.68,5.889,0.23,0.4,4.11,254,1.4,1.14
2924,2.68,5.898,0.2,0.4,2.81,208,0.1,1.88
2554,2.58,6.453,0.26,1.4,3.26,260,0.4,0.58
3041,2.544,6.3,0.3,0.2,4.21,67,1.1,0.54
1147,2.485,6.064,0.27,0.0,4.31,80,0.5,0.0
1427,2.61,6.611,0.29,0.9,4.51,84,1.1,0.46
2397,2.547,6.855,0.39,0.9,4.26,216,0.8,0.58
1609,2.25,5.972,0.16,0.4,3.57,201,0.6,0.78
1656,2.715,6.314,0.31,0.4,5.17,46,1.2,0.2
2743,2.552,6.412,0.42,0.5,4.3,139,0.9,0.48
2613,2.509,6.463,0.34,1.6,3.62,224,2.1,1.03
1708,2.79,6.815,0.22,0.1,3.86,123,3.8,0.55
5934,2.596,6.03,0.22,0.4,2.14,56,1.1,1.86
4368,2.701,6.43,0.31,0.7,3.11,336,0.8,0.88
1958,2.608,6.349,0.28,0.0,4.93,40,0.1,0.19
3087,2.358,5.965,0.31,0.2,0.64,195,0.8,2.41
928,2.643,6.003,0.23,0.2,3.99,428,0.4,0.86
7700,2.695,6.429,0.31,0.4,4.18,164,0.6,0.0
3919,2.883,6.204,0.33,1.3,4.28,14,0.0,1.29
2516,2.534,5.805,0.23,1.6,5.0,172,0.5,0.03
1384,2.735,6.566,0.32,0.1,4.37,344,1.7,0.32
1289,2.59,6.434,0.21,0.2,3.87,97,2.0,0.26
151,2.44,6.408,0.28,0.5,3.84,214,1.2,0.83
