time_betw_scan_hours,CA,YM,Class,dea_eff,cluster efficency - 5 clusters
1364.000,2.633,6.202,1.000,0.520,1.000
3036.000,2.713,6.768,1.000,0.670,2.000
65.000,2.660,6.939,1.000,0.630,3.000
1348.000,2.690,6.288,1.000,0.400,4.000
4860.000,2.702,5.981,1.000,0.470,1.000
2767.000,2.590,6.756,1.000,0.630,3.000
1110.000,2.925,6.667,1.000,0.250,4.000
128.000,2.574,6.896,1.000,0.530,1.000
1795.000,2.810,6.217,1.000,0.600,3.000
1401.000,2.836,5.814,1.000,0.530,1.000
1496.000,3.107,7.017,1.000,0.480,1.000
1334.000,2.943,6.019,1.000,0.560,3.000
6064.000,2.537,6.422,1.000,0.430,4.000
548.000,2.729,7.323,1.000,0.540,1.000
1573.000,2.560,6.599,1.000,0.590,3.000
1340.000,2.072,6.337,1.000,0.570,3.000
2697.000,2.639,5.739,1.000,0.420,4.000
1195.000,2.713,6.728,1.000,0.600,3.000
3843.000,2.882,7.144,1.000,0.570,3.000
5275.000,2.728,6.249,1.000,0.600,3.000
508.000,2.554,6.491,1.000,0.540,1.000
1326.000,3.002,6.295,1.000,0.480,1.000
6920.000,2.502,6.353,1.000,0.490,1.000
1143.000,2.561,6.051,1.000,0.550,1.000
918.000,2.660,6.483,1.000,0.400,4.000
15525.000,2.424,5.558,1.000,0.570,3.000
1550.000,2.451,6.498,1.000,0.530,1.000
3804.000,2.520,5.993,1.000,0.550,1.000
3084.000,2.750,6.737,1.000,0.500,1.000
1174.000,2.655,6.353,1.000,0.590,3.000
2359.000,2.530,6.664,1.000,0.570,3.000
20163.000,2.558,6.140,1.000,0.660,2.000
1407.000,2.707,6.651,1.000,0.500,1.000
4048.000,2.466,6.980,1.000,0.560,3.000
1142.000,2.935,7.281,1.000,0.630,3.000
489.000,2.527,6.656,1.000,0.470,1.000
4274.000,2.582,5.797,1.000,0.450,1.000
1751.000,2.930,6.718,1.000,0.600,3.000
975.000,2.747,6.717,1.000,0.360,4.000
2565.000,2.440,6.648,1.000,0.540,1.000
1267.000,2.507,6.724,1.000,0.540,1.000
6935.000,2.687,6.457,1.000,0.540,1.000
1656.000,2.866,6.449,1.000,0.480,1.000
163.000,2.513,5.648,1.000,0.500,1.000
2003.000,2.723,6.689,1.000,0.520,1.000
5452.000,2.807,5.921,1.000,0.600,3.000
269.000,2.580,5.966,1.000,0.600,3.000
4314.000,2.690,6.290,1.000,0.630,3.000
2870.000,2.652,6.403,1.000,0.530,1.000
2570.000,2.409,6.734,1.000,0.570,3.000
1428.000,2.905,5.921,1.000,0.570,3.000
4413.000,2.470,5.740,1.000,0.290,4.000
1077.000,2.960,6.367,1.000,0.550,1.000
1931.000,2.801,6.416,1.000,0.550,1.000
1609.000,2.250,5.972,1.000,0.470,1.000
1159.000,2.434,6.247,1.000,0.460,1.000
1781.000,2.554,6.023,1.000,0.420,4.000
2550.000,2.357,6.335,1.000,0.580,3.000
389.000,2.475,6.587,1.000,0.570,3.000
236.000,2.792,6.181,1.000,0.500,1.000
1386.000,2.412,6.017,1.000,0.440,4.000
1177.000,2.784,6.008,1.000,0.420,4.000
1326.000,2.312,6.270,1.000,0.490,1.000
1474.000,2.754,6.632,1.000,0.590,3.000
847.000,2.675,6.318,1.000,0.520,1.000
1978.000,2.549,6.107,1.000,0.560,3.000
1090.000,2.477,6.455,1.000,0.650,3.000
1328.000,2.620,6.503,1.000,0.540,1.000
1381.000,2.635,5.727,1.000,0.570,3.000
9651.000,2.764,5.557,1.000,0.470,1.000
8422.000,2.406,6.503,1.000,0.550,1.000
1511.000,2.702,6.148,1.000,0.490,1.000
