time_betw_scan_hours,CA,YM,Class,cluster normalized - 5 clusters,2/1 mM Glu/Lac [mM],1 mM H2O2 [mM],40/25 mM glu/lac høj O2,40/25 mM glu/lac lav O2,Sensitivity [pA/µM],t on 10/5 mM glu/lac [s],Lav O2 - Høj O2,50 mM Mannose,35 mM Glycolsyre,2 mM PAM
4844.000,3.000,6.000,1.000,0.000,0.241,0.410,0.859,0.828,0.602,0.107,0.633,0.900,0.722,0.686
254.000,2.000,6.034,1.000,2.000,0.255,0.352,0.823,0.835,0.544,0.152,0.709,0.328,0.857,0.657
3244.000,3.000,6.423,1.000,3.000,0.292,0.486,0.801,0.870,0.175,0.102,0.818,0.367,0.782,0.571
4084.000,3.000,6.000,1.000,3.000,0.264,0.486,0.737,0.781,0.140,0.269,0.743,0.493,0.556,0.429
3768.000,3.000,6.000,1.000,0.000,0.269,0.429,0.814,0.872,0.283,0.056,0.801,0.738,0.767,0.614
154.000,3.000,6.000,1.000,0.000,0.274,0.571,0.772,0.876,0.372,0.025,0.880,0.424,0.902,0.729
1412.000,2.915,6.000,1.000,2.000,0.255,0.457,0.819,0.842,0.561,0.096,0.729,0.094,0.835,0.671
3193.000,3.000,6.000,1.000,0.000,0.288,0.495,0.863,0.906,0.326,0.041,0.786,0.699,0.895,0.714
8661.000,3.000,6.000,1.000,0.000,0.321,0.438,0.741,0.706,0.439,0.122,0.581,0.543,0.872,0.729
1904.000,3.000,6.000,1.000,0.000,0.269,0.486,0.832,0.865,0.278,0.066,0.755,0.428,0.677,0.600
997.000,3.000,7.000,1.000,0.000,0.226,0.590,0.760,0.793,0.146,0.299,0.727,0.649,0.902,0.700
1013.000,2.457,6.000,1.000,0.000,0.250,0.486,0.937,0.945,0.491,0.188,0.741,0.346,0.865,0.629
6241.000,3.000,6.000,1.000,0.000,0.269,0.486,0.770,0.743,0.309,0.076,0.608,0.476,0.820,0.529
2008.000,3.000,7.000,1.000,3.000,0.292,0.571,0.786,0.844,0.142,0.178,0.790,0.307,0.699,0.529
2497.000,3.000,6.000,1.000,3.000,0.236,0.429,0.799,0.847,0.207,0.086,0.773,0.374,0.842,0.557
2127.000,2.560,7.000,1.000,3.000,0.226,0.543,0.791,0.837,0.193,0.147,0.766,0.560,0.474,0.371
1797.000,3.000,6.000,1.000,0.000,0.208,0.629,0.870,0.928,0.238,0.076,0.822,0.729,0.571,0.500
1560.000,2.000,6.000,1.000,0.000,0.349,0.343,0.740,0.671,0.364,0.152,0.509,0.803,0.917,0.714
17227.000,2.000,6.000,1.000,0.000,0.259,0.400,0.810,0.758,0.341,0.076,0.571,0.415,0.872,0.700
2587.000,3.000,6.000,1.000,0.000,0.302,0.543,0.814,0.845,0.252,0.117,0.744,0.532,0.767,0.529
84.000,3.000,7.000,1.000,0.000,0.259,0.762,0.899,0.947,0.350,0.117,0.811,0.583,0.789,0.643
1801.000,3.000,6.000,1.000,0.000,0.212,0.495,0.846,0.897,0.210,0.015,0.798,0.716,0.692,0.543
4941.000,3.000,7.000,1.000,3.000,0.278,0.571,0.820,0.846,0.295,0.086,0.735,0.128,0.872,0.643
390.000,3.000,5.988,1.000,0.000,0.250,0.400,0.818,0.859,0.426,0.076,0.768,0.412,0.865,0.686
802.000,3.000,6.000,1.000,0.000,0.269,0.390,0.797,0.808,0.194,0.086,0.697,0.755,0.669,0.657
4295.000,3.000,7.000,1.000,0.000,0.264,0.381,0.851,0.851,0.355,0.142,0.694,0.461,0.865,0.629
4885.000,3.000,7.000,1.000,3.000,0.245,0.505,0.851,0.879,0.294,0.259,0.752,0.300,0.617,0.586
1435.000,3.000,7.000,1.000,3.000,0.292,0.495,0.816,0.844,0.187,0.142,0.740,0.106,0.827,0.600
842.000,3.000,6.000,1.000,0.000,0.250,0.400,0.792,0.843,0.322,0.137,0.778,0.362,0.774,0.586
1545.000,2.000,6.000,1.000,0.000,0.255,0.619,0.859,0.896,0.358,0.036,0.773,0.485,0.805,0.729
1443.000,3.000,7.000,1.000,0.000,0.264,0.467,0.720,0.728,0.210,0.137,0.663,0.572,0.662,0.529
1466.000,3.000,6.686,1.000,0.000,0.236,0.486,0.851,0.876,0.292,0.086,0.744,0.643,0.662,0.600
1330.000,2.576,6.000,1.000,3.000,0.269,0.610,0.839,0.891,0.308,0.076,0.798,0.316,0.887,0.686
2662.000,3.000,6.000,1.000,0.000,0.236,0.610,0.791,0.842,0.189,0.086,0.778,0.614,0.850,0.729
110.000,3.000,6.000,1.000,0.000,0.236,0.486,0.793,0.852,0.308,0.096,0.794,0.595,0.910,0.600
44.000,3.000,6.547,1.000,0.000,0.278,0.562,0.855,0.892,0.233,0.061,0.771,0.716,0.677,0.457
1436.000,3.000,6.000,1.000,0.000,0.283,0.390,0.714,0.721,0.479,0.137,0.656,0.751,0.902,0.700
2935.000,2.000,7.000,1.000,0.000,0.236,0.419,0.813,0.882,0.200,0.137,0.822,0.422,0.812,0.629
7343.000,3.000,7.000,1.000,0.000,0.222,0.429,0.822,0.865,0.190,0.096,0.771,0.445,0.820,0.614
2972.000,3.000,6.000,1.000,0.000,0.264,0.514,0.835,0.881,0.258,0.091,0.782,0.525,0.699,0.500
1393.000,3.000,6.000,1.000,0.000,0.302,0.486,0.804,0.857,0.276,0.051,0.784,0.607,0.842,0.686
2477.000,2.000,6.000,1.000,0.000,0.274,0.505,0.816,0.836,0.320,0.122,0.721,0.493,0.556,0.586
1766.000,2.438,7.000,1.000,0.000,0.231,0.581,0.856,0.874,0.268,0.091,0.733,0.599,0.571,0.657
565.000,3.000,6.000,1.000,0.000,0.226,0.610,0.795,0.861,0.155,0.188,0.810,0.604,0.729,0.600
1130.000,3.000,6.000,1.000,0.000,0.283,0.514,0.816,0.882,0.284,0.030,0.816,0.739,0.820,0.657
4485.000,2.811,7.000,1.000,3.000,0.278,0.486,0.707,0.764,0.314,0.269,0.758,0.023,0.925,0.714
258.000,3.000,6.541,1.000,0.000,0.203,0.438,0.876,0.906,0.279,0.086,0.766,0.512,0.677,0.443
971.000,3.000,6.000,1.000,2.000,0.278,0.514,0.896,0.872,0.614,0.046,0.661,0.591,0.850,0.643
9693.000,3.000,6.000,1.000,0.000,0.288,0.457,0.803,0.813,0.312,0.117,0.695,0.526,0.737,0.643
2435.000,3.000,7.000,1.000,0.000,0.283,0.543,0.754,0.809,0.193,0.147,0.771,0.547,0.744,0.614
5368.000,3.000,6.670,1.000,3.000,0.278,0.562,0.825,0.873,0.232,0.127,0.783,0.390,0.624,0.557
2506.000,2.000,6.000,1.000,0.000,0.264,0.505,0.769,0.845,0.187,0.051,0.821,0.532,0.789,0.643
1528.000,3.000,6.000,1.000,0.000,0.288,0.543,0.859,0.906,0.263,0.102,0.794,0.626,0.902,0.614
2346.000,3.000,7.000,1.000,3.000,0.241,0.714,0.736,0.834,0.156,0.234,0.852,0.148,0.820,0.671
1535.000,3.000,7.000,1.000,3.000,0.297,0.676,0.797,0.837,0.186,0.112,0.755,0.248,0.902,0.700
3959.000,3.000,6.000,1.000,0.000,0.311,0.438,0.893,0.927,0.391,0.107,0.779,0.582,0.729,0.671
166.000,2.000,6.000,1.000,0.000,0.250,0.524,0.777,0.836,0.326,0.066,0.788,0.465,0.782,0.657
4208.000,3.000,6.000,1.000,0.000,0.255,0.610,0.851,0.887,0.240,0.066,0.768,0.571,0.722,0.600
1422.000,3.000,7.000,1.000,0.000,0.278,0.467,0.803,0.874,0.240,0.051,0.824,0.804,0.752,0.557
2429.000,2.580,6.000,1.000,2.000,0.264,0.362,0.840,0.820,0.503,0.086,0.647,0.493,0.699,0.629
1557.000,3.000,5.795,1.000,0.000,0.250,0.495,0.840,0.877,0.511,0.066,0.765,0.403,0.925,0.700
2960.000,2.598,5.000,1.000,0.000,0.250,0.343,0.762,0.776,0.493,0.081,0.691,0.816,0.865,0.657
1443.000,3.000,6.000,1.000,0.000,0.245,0.495,0.831,0.857,0.308,0.036,0.740,0.842,0.842,0.671
4017.000,3.000,6.000,1.000,0.000,0.269,0.429,0.862,0.873,0.364,0.076,0.720,0.312,0.917,0.671
2999.000,3.000,7.000,1.000,0.000,0.250,0.371,0.739,0.694,0.247,0.168,0.558,0.622,0.669,0.600
4118.000,2.000,6.000,1.000,4.000,0.217,0.429,0.679,0.622,0.399,0.086,0.512,0.354,0.459,0.486
1367.000,3.000,6.000,1.000,2.000,0.288,0.381,0.777,0.685,0.497,0.244,0.476,0.692,0.887,0.714
1560.000,3.000,6.000,1.000,0.000,0.307,0.457,0.839,0.864,0.449,0.051,0.742,0.461,0.774,0.586
1135.000,3.000,6.000,1.000,0.000,0.250,0.390,0.812,0.885,0.425,0.071,0.830,0.345,0.684,0.671
4471.000,3.000,7.000,1.000,3.000,0.283,0.590,0.831,0.872,0.186,0.168,0.772,0.305,0.556,0.600
1639.000,3.000,5.801,1.000,0.000,0.193,0.419,0.835,0.834,0.383,0.107,0.684,0.603,0.759,0.571
2326.000,3.000,7.000,1.000,3.000,0.226,0.419,0.845,0.908,0.198,0.117,0.821,0.328,0.827,0.614
1222.000,2.000,6.000,1.000,3.000,0.241,0.581,0.805,0.873,0.266,0.071,0.818,0.269,0.624,0.486
