time_betw_scan_hours,CA,YM,Class,dea_eff,cluster efficency - 5 clusters,cluster normalized - 5 clusters,2/1 mM Glu/Lac [mM],1 mM H2O2 [mM],40/25 mM glu/lac høj O2,Sensitivity [pA/µM],t on 10/5 mM glu/lac [s],Lav O2 - Høj O2
1265.000,2.621,6.254,1.000,0.660,2.000,1.000,0.200,0.123,0.561,0.385,0.049,0.080
1533.000,2.620,5.769,1.000,0.480,1.000,1.000,0.108,0.035,0.481,0.158,0.049,0.056
1978.000,2.539,6.026,1.000,0.570,3.000,3.000,0.173,0.088,0.435,0.393,0.060,0.179
4361.000,2.348,5.829,1.000,0.250,4.000,1.000,0.097,0.018,0.217,0.040,0.011,0.181
1993.000,2.639,6.209,1.000,0.580,3.000,1.000,0.184,0.474,0.579,0.080,0.044,0.005
2942.000,2.627,6.344,1.000,0.480,1.000,1.000,0.205,0.140,0.464,0.144,0.055,0.056
4057.000,2.670,6.527,1.000,0.560,3.000,1.000,0.173,0.263,0.470,0.333,0.022,0.070
1729.000,2.857,6.592,1.000,0.420,4.000,1.000,0.146,0.018,0.419,0.126,0.109,0.088
1612.000,2.459,6.561,1.000,0.550,3.000,1.000,0.184,0.140,0.537,0.065,0.038,0.203
5473.000,2.630,5.875,1.000,0.530,1.000,1.000,0.130,0.228,0.489,0.264,0.038,0.131
5197.000,2.790,5.970,1.000,0.470,1.000,1.000,0.092,0.035,0.469,0.031,0.027,0.151
1728.000,2.644,6.243,1.000,0.570,3.000,2.000,0.146,0.526,0.498,0.209,0.022,0.047
18415.000,2.732,5.830,1.000,0.490,1.000,1.000,0.103,0.035,0.485,0.057,0.016,0.286
3229.000,2.592,6.175,1.000,0.480,1.000,1.000,0.092,0.070,0.440,0.043,0.082,0.380
5375.000,2.796,6.120,1.000,0.550,3.000,1.000,0.151,0.070,0.519,0.237,0.066,0.100
1496.000,2.680,6.009,1.000,0.450,1.000,1.000,0.092,0.246,0.406,0.239,0.022,0.051
5400.000,2.745,6.047,1.000,0.510,1.000,1.000,0.135,0.070,0.504,0.147,0.000,0.093
1688.000,2.397,6.504,1.000,0.580,3.000,1.000,0.168,0.333,0.529,0.286,0.016,0.037
1663.000,2.540,6.151,1.000,0.530,1.000,1.000,0.184,0.281,0.525,0.011,0.098,0.023
1344.000,2.747,6.913,1.000,0.440,1.000,1.000,0.141,0.018,0.436,0.106,0.077,0.056
1494.000,2.608,6.752,1.000,0.570,3.000,2.000,0.146,0.298,0.490,0.333,0.055,0.135
269.000,2.580,5.966,1.000,0.600,3.000,1.000,0.173,0.105,0.600,0.047,0.016,0.022
3138.000,2.483,6.517,1.000,0.450,1.000,1.000,0.151,0.193,0.349,0.306,0.000,0.111
6127.000,2.501,6.355,1.000,0.530,1.000,1.000,0.151,0.193,0.405,0.371,0.044,0.045
907.000,2.483,5.860,1.000,0.560,3.000,1.000,0.168,0.018,0.558,0.048,0.000,0.030
5730.000,2.536,6.655,1.000,0.630,3.000,1.000,0.227,0.211,0.540,0.341,0.044,0.013
1122.000,2.616,7.255,1.000,0.720,2.000,1.000,0.119,0.158,0.632,0.406,0.137,0.035
1550.000,2.451,6.498,1.000,0.530,1.000,1.000,0.168,0.123,0.389,0.394,0.093,0.096
1539.000,2.751,5.986,1.000,0.540,1.000,1.000,0.130,0.053,0.504,0.260,0.033,0.018
2444.000,2.707,6.612,1.000,0.550,3.000,1.000,0.222,0.035,0.420,0.369,0.022,0.086
7221.000,2.860,6.353,1.000,0.660,2.000,2.000,0.184,0.211,0.551,0.402,0.131,0.051
955.000,2.570,6.229,1.000,0.560,3.000,1.000,0.130,0.140,0.480,0.321,0.027,0.040
7112.000,2.964,5.884,1.000,0.290,4.000,1.000,0.092,0.088,0.274,0.114,0.077,0.131
7135.000,2.659,6.744,1.000,0.710,2.000,1.000,0.162,0.123,0.687,0.291,0.082,0.136
2512.000,2.523,6.380,1.000,0.580,3.000,1.000,0.178,0.298,0.546,0.244,0.071,0.015
1853.000,2.527,6.146,1.000,0.350,4.000,1.000,0.146,0.000,0.328,0.024,0.022,0.151
1401.000,2.836,5.814,1.000,0.530,1.000,1.000,0.103,0.035,0.527,0.074,0.005,0.061
1142.000,2.935,7.281,1.000,0.630,3.000,2.000,0.130,0.281,0.495,0.429,0.148,0.047
8176.000,2.887,6.491,1.000,0.610,3.000,1.000,0.135,0.000,0.606,0.196,0.033,0.128
2275.000,2.521,5.910,1.000,0.620,3.000,1.000,0.114,0.123,0.621,0.226,0.022,0.060
1358.000,2.641,6.364,1.000,0.470,1.000,1.000,0.189,0.035,0.405,0.250,0.066,0.073
1359.000,2.530,5.524,1.000,0.610,3.000,1.000,0.119,0.193,0.606,0.096,0.066,0.053
3036.000,2.713,6.768,1.000,0.670,2.000,2.000,0.124,0.263,0.554,0.427,0.093,0.065
1504.000,2.663,6.633,1.000,0.520,1.000,1.000,0.119,0.070,0.459,0.286,0.077,0.086
1269.000,2.672,5.979,1.000,0.560,3.000,1.000,0.151,0.105,0.557,0.019,0.016,0.023
1669.000,2.622,6.520,1.000,0.650,3.000,1.000,0.178,0.053,0.546,0.388,0.016,0.098
233.000,2.867,6.221,1.000,0.700,2.000,2.000,0.151,0.526,0.610,0.389,0.005,0.096
3293.000,2.677,7.021,1.000,0.620,3.000,2.000,0.162,0.421,0.519,0.362,0.126,0.035
4611.000,2.541,6.566,1.000,0.490,1.000,1.000,0.178,0.053,0.373,0.333,0.044,0.085
2521.000,2.878,6.203,1.000,0.550,3.000,1.000,0.151,0.175,0.506,0.264,0.011,0.010
915.000,2.695,6.847,1.000,0.490,1.000,4.000,0.162,0.281,0.292,0.328,0.235,0.091
2678.000,2.516,6.195,1.000,0.510,1.000,1.000,0.173,0.070,0.476,0.213,0.104,0.091
2427.000,2.634,5.896,1.000,0.560,3.000,1.000,0.184,0.211,0.557,0.075,0.000,0.035
4428.000,2.610,6.143,1.000,0.510,1.000,1.000,0.238,0.158,0.350,0.367,0.071,0.035
1653.000,2.370,6.480,1.000,0.570,3.000,1.000,0.135,0.035,0.495,0.333,0.044,0.141
5882.000,2.632,6.096,1.000,0.580,3.000,2.000,0.168,0.386,0.552,0.245,0.033,0.002
1034.000,2.991,6.772,1.000,0.440,1.000,1.000,0.124,0.228,0.414,0.203,0.049,0.035
2805.000,2.404,6.784,1.000,0.680,2.000,2.000,0.232,0.316,0.522,0.473,0.005,0.051
942.000,2.625,6.989,1.000,0.610,3.000,1.000,0.070,0.193,0.522,0.383,0.022,0.022
249.000,2.720,5.913,1.000,0.350,4.000,1.000,0.124,0.053,0.330,0.135,0.005,0.015
1551.000,2.466,6.526,1.000,0.550,3.000,1.000,0.130,0.228,0.494,0.298,0.005,0.068
1241.000,2.576,6.030,1.000,0.520,1.000,1.000,0.157,0.105,0.517,0.096,0.027,0.003
1312.000,2.630,6.269,1.000,0.540,1.000,1.000,0.195,0.088,0.525,0.170,0.098,0.028
1412.000,2.915,6.301,1.000,0.530,1.000,1.000,0.151,0.070,0.463,0.286,0.022,0.032
167.000,2.471,5.990,1.000,0.480,1.000,1.000,0.141,0.088,0.464,0.193,0.066,0.081
29.000,2.560,6.719,1.000,0.640,3.000,2.000,0.168,0.228,0.348,0.489,0.246,0.056
1142.000,3.053,6.777,1.000,0.680,2.000,2.000,0.119,0.316,0.588,0.408,0.060,0.050
2841.000,2.350,6.199,1.000,0.540,1.000,1.000,0.173,0.123,0.512,0.217,0.027,0.040
1655.000,2.500,7.241,1.000,0.680,2.000,3.000,0.141,0.175,0.525,0.466,0.219,0.056
1493.000,2.759,6.714,1.000,0.580,3.000,1.000,0.195,0.386,0.555,0.213,0.033,0.010
1420.000,2.868,5.858,1.000,0.600,3.000,1.000,0.162,0.193,0.534,0.307,0.022,0.125
6.000,2.640,6.343,1.000,0.510,1.000,1.000,0.157,0.035,0.412,0.309,0.120,0.068
7854.000,2.507,6.341,1.000,0.580,3.000,1.000,0.157,0.246,0.488,0.342,0.098,0.060
2730.000,2.513,6.802,1.000,0.580,3.000,1.000,0.146,0.175,0.578,0.200,0.038,0.043
773.000,2.665,6.796,1.000,0.390,4.000,0.000,0.124,0.140,0.177,0.209,0.071,0.327
207.000,2.523,6.092,1.000,0.450,1.000,1.000,0.178,0.035,0.440,0.098,0.033,0.032
17127.000,2.633,6.110,1.000,0.580,3.000,1.000,0.081,0.281,0.506,0.339,0.033,0.070
780.000,2.664,5.987,1.000,0.640,3.000,2.000,0.184,0.263,0.543,0.379,0.066,0.086
1342.000,2.658,5.930,1.000,0.640,3.000,1.000,0.162,0.211,0.641,0.185,0.049,0.078
1236.000,2.426,6.525,1.000,0.310,4.000,0.000,0.054,0.018,0.247,0.129,0.109,0.282
3112.000,2.990,6.080,1.000,0.560,3.000,1.000,0.130,0.018,0.554,0.120,0.005,0.032
3512.000,2.960,6.627,1.000,0.520,1.000,1.000,0.135,0.070,0.498,0.219,0.104,0.007
273.000,2.890,6.806,1.000,0.490,1.000,1.000,0.168,0.421,0.467,0.185,0.038,0.146
1839.000,2.824,6.934,1.000,0.630,3.000,2.000,0.135,0.281,0.532,0.379,0.126,0.015
1772.000,2.613,6.520,1.000,0.440,1.000,1.000,0.189,0.140,0.428,0.116,0.011,0.063
1209.000,2.700,5.344,1.000,0.610,3.000,1.000,0.141,0.000,0.523,0.369,0.011,0.121
16355.000,2.598,5.591,1.000,0.660,2.000,3.000,0.168,0.158,0.526,0.446,0.011,0.013
2496.000,2.889,5.635,1.000,0.610,3.000,2.000,0.124,0.351,0.537,0.346,0.033,0.012
182.000,2.736,7.010,1.000,0.590,3.000,2.000,0.178,0.211,0.448,0.407,0.109,0.060
