bcr_dir,RunNumberPartNumberID,RunNumber,PartNumber,ca_time,ym_time,Sensor,BoardNumber,ArrayNumber,time_betw_scan_min,CA,CA Humidity,CA Temperature,YM,YM Humidity,YM Temperature,CA_cav_dia,CA_void_cav,CA_cav_depth,Ca_void_mem,CA_overlap_min,CA_overlap_max,YM_void_mem,Class,Tid efter start [timer],2/1 mM Glu/Lac [mM],1 mM H2O2 [mM],40/25 mM glu/lac h�j O2,Sensitivity [pA/�M],t on 10/5 mM glu/lac [s],Lav O2 - H�j O2
,27260,R29061,932-029,24-03-2021 19:32,29-03-2021 22:58,Glu,8,8,1213,2.508,32.86,26.65,5.6629999999999985,33.53,26.22,1169.7,22.281,60.249,25.824,36.747,178.486,28.459,Approved,4.3,0.18,0.6,4.53,281,0.2,0.98
,27260,R29061,932-029,24-03-2021 19:16,29-03-2021 22:32,Glu,3,15,1214,2.642,30.49,26.58,5.5870000000000015,32.41,26.52,1169.92,25.69,63.157,29.812,120.741,173.236,31.226,Approved,4.3,0.21,0.1,4.06,38,1.2,1.14
,27260,R29061,932-029,24-03-2021 19:14,29-03-2021 22:28,Glu,2,1,1213,2.568,30.52,26.58,5.6370000000000005,32.07,26.38,1178.04,24.4,61.81,28.421,99.742,209.984,30.25,Approved,4.32,0.21,0.3,4.3,115,0.8,1.19
,27260,R29061,932-029,24-03-2021 19:10,29-03-2021 22:24,Glu,1,9,1214,2.544,30.45,26.58,6.27,31.93,26.51,1171.48,23.979,60.74800000000001,28.309,120.741,173.236,30.094,Approved,4.35,0.34,1.1,4.41,364,1.3,0.54
,27312,R29095,932-029,24-03-2021 23:20,29-03-2021 13:52,Glu,8,4,4790,2.4330000000000003,31.48,26.35,6.058,29.04,26.21,1155.86,20.143,62.494,29.881,99.853,210.218,28.931,Approved,4.3,0.24,0.4,4.98,96,0.5,0.41
,27312,R29095,932-029,24-03-2021 23:04,29-03-2021 13:28,Glu,3,13,4805,2.545,30.5,26.66,5.9689999999999985,28.92,26.05,1158.59,20.99,62.402,30.96,141.89700000000005,210.218,29.38,Approved,4.3,0.26,0.7,4.44,256,0.3,0.49
,27312,R29095,932-029,24-03-2021 23:02,29-03-2021 13:24,Glu,2,4,4810,2.406,30.84,26.63,6.124,29.56,26.08,1165.71,20.337,60.26600000000001,30.102,120.875,199.707,28.618,Approved,4.3,0.26,1.1,4.53,232,0.9,0.81
,27312,R29095,932-029,24-03-2021 22:58,29-03-2021 13:20,Glu,1,5,4811,2.471,30.91,26.61,5.6389999999999985,29.93,26.12,1152.32,20.571,61.201,31.012,131.386,210.218,28.759,Approved,4.42,0.27,0.1,4.26,105,0.5,0.59
,27217,R29036,932-029,24-03-2021 15:36,26-03-2021 14:02,Glu,8,4,1460,2.323,31.3,26.47,5.98,30.02,26.88,1144.28,20.121,61.368,29.632,136.642,210.218,28.247,Approved,1.73,0.26,1.0,3.92,350,0.1,0.62
,27217,R29036,932-029,24-03-2021 15:12,26-03-2021 13:36,Glu,3,1,1471,2.775,31.31,26.59,5.725,27.75,26.72,1158.8,18.841,58.368,28.49,120.875,194.452,27.867,Approved,1.73,0.21,0.5,4.85,145,0.3,0.55
,27217,R29036,932-029,24-03-2021 15:08,26-03-2021 13:32,Glu,2,10,1472,2.912,31.23,26.58,6.045,27.71,26.93,1157.78,18.999,62.403,29.042,110.364,199.707,27.44,Approved,1.73,0.17,0.5,3.64,283,1.8,0.21
,27217,R29036,932-029,24-03-2021 15:06,26-03-2021 13:26,Glu,1,12,1458,2.43,31.16,26.58,5.626,27.85,26.82,1155.21,18.87,60.93,28.387,120.875,204.962,26.859,Approved,1.67,0.21,0.6,3.39,212,0.7,0.27
,27266,R29067,932-029,24-03-2021 11:46,26-03-2021 08:08,Glu,8,15,2276,2.4730000000000003,32.94,25.66,6.166,28.23,27.04,1166.36,22.16,62.148,32.145,126.131,199.707,30.567,Approved,1.65,0.19,1.3,4.29,213,2.8,0.41
,27266,R29067,932-029,24-03-2021 11:32,26-03-2021 07:40,Glu,3,7,2286,2.361,32.04,26.49,5.766,29.18,26.91,1155.73,22.102,61.324,32.202,120.875,189.196,30.44,Approved,1.65,0.22,1.0,4.59,208,1.2,0.53
,27266,R29067,932-029,24-03-2021 11:28,26-03-2021 07:36,Glu,2,4,2288,2.38,31.83,26.45,5.5379999999999985,28.32,26.75,1161.51,22.076,62.255,32.466,136.642,199.707,30.454,Approved,1.65,0.22,1.2,4.93,304,0.3,0.35
,27266,R29067,932-029,24-03-2021 11:26,26-03-2021 07:32,Glu,1,1,2289,2.39,31.7,26.42,5.761,28.23,27.0,1173.0,21.139,59.721,31.319000000000006,126.131,189.196,30.016,Approved,1.77,0.22,1.2,4.85,252,0.0,0.07
,27215,R29034,932-029,24-03-2021 10:56,26-03-2021 02:06,Glu,8,6,1092,2.526,31.67,25.99,5.589,27.36,27.37,1156.22,22.495,62.18600000000001,26.882,120.741,209.984,28.661,Approved,1.65,0.17,0.4,2.09,59,3.2,1.12
,27215,R29034,932-029,24-03-2021 10:22,26-03-2021 01:38,Glu,3,1,1089,2.658,32.0,25.76,5.836,27.76,26.81,1160.68,21.736,61.182,26.344,89.243,204.734,28.618,Approved,1.65,0.17,0.2,1.83,360,3.3,0.85
,27215,R29034,932-029,24-03-2021 09:40,26-03-2021 01:30,Glu,1,1,1087,2.7910000000000004,33.65,24.53,6.261,28.57,27.18,1156.86,21.624,60.949,26.955,125.99,209.984,28.999,Approved,1.67,0.21,0.7,4.63,262,0.6,0.51
,27208,R29027,932-029,24-03-2021 05:38,26-03-2021 00:02,Glu,8,8,1135,2.494,35.06,24.33,5.408,28.76,27.37,1173.73,21.702,61.551,27.438,131.92600000000002,184.696,29.759,Approved,0.58,0.21,0.3,3.13,202,1.4,0.64
,27208,R29027,932-029,24-03-2021 05:22,25-03-2021 23:34,Glu,3,7,1128,2.694,34.31,24.79,5.46,29.34,27.21,1168.04,22.121,60.065,27.9,142.48,200.527,29.333,Approved,0.57,0.31,0.6,4.53,212,0.3,0.14
,27208,R29027,932-029,24-03-2021 05:10,25-03-2021 23:24,Glu,1,16,1123,2.724,32.78,25.75,5.52,27.59,27.16,1177.99,21.43,57.69600000000001,27.562,126.649,211.081,29.72,Approved,0.57,0.24,1.2,4.68,397,0.1,0.45
,27207,R29026,932-029,24-03-2021 12:16,25-03-2021 22:36,Glu,3,5,1385,2.584,31.75,26.28,5.834,27.95,26.61,1168.46,22.028,60.105,26.195,115.491,199.484,28.323,Approved,2.65,0.22,0.6,4.38,142,0.3,0.63
,27207,R29026,932-029,24-03-2021 12:12,25-03-2021 22:32,Glu,2,10,1384,2.607,31.63,26.42,5.992000000000001,28.12,26.49,1176.0,21.567,59.674,25.733,104.992,194.235,28.163,Approved,2.65,0.15,0.5,4.02,108,1.8,0.19
,27207,R29026,932-029,24-03-2021 12:10,25-03-2021 22:26,Glu,1,9,1384,2.649,31.63,26.45,5.442,28.12,26.21,1166.63,21.557,60.464,25.857,110.241,199.484,28.069000000000006,Approved,2.65,0.15,0.2,3.13,340,1.1,1.4
,27243,R29044,932-029,24-03-2021 08:56,25-03-2021 21:18,Glu,8,11,1443,2.499,35.26,24.39,5.977,28.84,26.91,1160.29,18.618,57.567,27.348000000000006,110.364,183.941,27.404,Approved,0.58,0.2,2.0,4.89,395,1.0,0.64
,27243,R29044,932-029,24-03-2021 08:40,25-03-2021 20:56,Glu,3,10,1453,2.556,34.47,24.54,5.643,28.49,26.73,1161.63,18.955,59.968,27.507,99.853,178.685,26.688,Approved,0.57,0.23,0.6,4.21,22,1.1,0.48
,27243,R29044,932-029,24-03-2021 08:38,25-03-2021 20:46,Glu,2,11,1454,2.522,33.92,24.65,5.369,28.54,26.72,1163.35,18.641,57.271,27.086,99.853,199.707,26.737,Approved,0.58,0.22,0.4,4.46,75,0.9,0.33
,27216,R29035,932-029,24-03-2021 21:10,25-03-2021 17:40,Glu,8,15,1453,2.262,31.85,26.17,5.985,33.13,26.52,1170.42,20.579,59.181,27.91,116.053,211.005,26.565,Approved,0.63,0.37,1.6,3.59,317,1.1,0.03
