bcr_dir,RunNumberPartNumberID,RunNumber,PartNumber,Timestamp,Sensor,BoardNumber,ArrayNumber,time_betw_scan_min,CA,CA Humidity,CA Temperature,YM,Class,Tid efter start [timer],2/1 mM Glu/Lac [mM],1 mM H2O2 [mM],40/25 mM glu/lac h�j O2,Sensitivity [pA/�M],t on 10/5 mM glu/lac [s],Lav O2 - H�j O2,40/25 mM glu/lac høj O2,Sensitivity [pA/µM],Lav O2 - Høj O2
932-029-R28752-N008-A12-Approved,26728,R28752,932-029,08-03-2021 12:24,Glu,8,12,613,2.866,29.88,26.12,6.0710000000000015,Approved,1.5,0.27,2.1,3.57,258.0,2.6,0.44,,,
932-029-R28752-N002-A3-Approved,26728,R28752,932-029,08-03-2021 12:06,Glu,2,3,616,2.682,29.04,26.35,6.085,Approved,1.5,0.27,3.2,3.58,319.0,3.8,0.16,,,
932-029-R28765-N008-A7-Approved,26741,R28765,932-029,08-03-2021 11:16,Glu,8,7,893,2.681,27.41,28.08,6.318,Approved,1.5,0.22,1.7,3.16,218.0,1.4,0.22,,,
932-029-R28765-N003-A8-Approved,26741,R28765,932-029,08-03-2021 11:00,Glu,3,8,898,2.576,26.94,28.18,6.055,Approved,1.58,0.23,1.1,2.35,175.0,1.2,0.43,,,
932-029-R28765-N002-A8-Approved,26741,R28765,932-029,08-03-2021 10:56,Glu,2,8,899,2.627,27.09,28.09,5.726,Approved,1.47,0.25,1.4,3.8,100.0,0.4,0.84,,,
932-029-R28765-N001-A1-Approved,26741,R28765,932-029,08-03-2021 10:52,Glu,1,1,900,2.838,27.12,28.01,6.2639999999999985,Approved,1.43,0.22,1.8,3.39,343.0,0.2,0.25,,,
932-029-R28754-N008-A10-Approved,26730,R28754,932-029,08-03-2021 10:24,Glu,8,10,685,2.323,27.16,27.56,5.992000000000001,Approved,1.65,0.27,0.0,3.14,114.0,2.8,1.15,,,
932-029-R28754-N003-A3-Approved,26730,R28754,932-029,08-03-2021 10:08,Glu,3,3,686,2.414,28.28,26.98,6.01,Approved,1.75,0.43,0.5,3.4,269.0,2.1,0.34,,,
932-029-R28754-N002-A13-Approved,26730,R28754,932-029,08-03-2021 10:06,Glu,2,13,688,2.49,28.47,26.77,6.033,Approved,1.72,0.48,1.3,4.26,334.0,1.2,0.67,,,
932-029-R28754-N001-A11-Approved,26730,R28754,932-029,08-03-2021 09:58,Glu,1,11,682,2.294,28.84,26.38,5.7860000000000005,Approved,1.75,0.33,0.9,4.0,261.0,0.5,0.72,,,
932-029-R28761-N008-A12-Approved,26737,R28761,932-029,08-03-2021 09:54,Glu,8,12,424,2.94,29.9,25.94,5.327000000000001,Approved,1.62,0.26,0.8,3.14,95.0,1.0,0.44,,,
932-029-R28761-N004-A1-Approved,26737,R28761,932-029,08-03-2021 09:42,Glu,4,1,423,2.817,28.44,26.31,6.197,Approved,1.63,0.37,0.0,3.78,323.0,0.8,0.64,,,
932-029-R28761-N003-A12-Approved,26737,R28761,932-029,08-03-2021 09:40,Glu,3,12,425,2.809,28.17,26.51,5.591,Approved,1.6,0.28,0.6,3.09,31.0,0.0,0.16,,,
932-029-R28761-N002-A2-Approved,26737,R28761,932-029,08-03-2021 09:36,Glu,2,2,425,2.787,28.27,26.88,5.827000000000001,Approved,1.62,0.33,0.1,3.92,185.0,0.1,0.37,,,
932-029-R28766-N003-A2-Approved,26742,R28766,932-029,08-03-2021 09:10,Glu,3,2,627,2.553,28.25,26.68,5.625,Approved,0.53,0.17,1.1,2.91,27.0,0.8,0.41,,,
932-029-R28766-N001-A2-Approved,26742,R28766,932-029,08-03-2021 09:02,Glu,1,2,628,2.685,27.06,27.19,6.307,Approved,0.47,0.22,2.5,4.16,367.0,0.8,1.01,,,
932-029-R28741-N008-A11-Approved,26702,R28741,932-029,04-03-2021 15:26,Glu,8,11,3491,2.653,31.63,25.73,6.171,Approved,1.18,0.23,0.3,2.45,311.0,7.0,1.52,,,
932-029-R28741-N002-A7-Approved,26702,R28741,932-029,04-03-2021 15:04,Glu,2,7,3503,2.623,32.07,25.98,5.957999999999998,Approved,1.15,0.25,0.4,4.14,276.0,0.4,0.48,,,
932-029-R28741-N001-A2-Approved,26702,R28741,932-029,04-03-2021 15:02,Glu,1,2,3546,2.482,31.85,25.98,6.041,Approved,1.15,0.25,0.1,3.97,226.0,0.6,0.55,,,
932-029-R28694-N008-A3-Approved,26640,R28694,932-029,04-03-2021 14:56,Glu,8,3,3324,2.702,31.65,25.9,6.2029999999999985,Approved,0.55,0.26,1.9,3.94,210.0,1.4,0.24,,,
932-029-R28694-N003-A2-Approved,26640,R28694,932-029,04-03-2021 14:42,Glu,3,2,3336,2.77,31.73,26.05,5.729,Approved,0.47,0.17,0.7,3.14,72.0,1.2,0.09,,,
932-029-R28694-N002-A13-Approved,26640,R28694,932-029,04-03-2021 14:38,Glu,2,13,3343,2.739,30.93,26.59,5.985,Approved,0.55,0.23,1.2,4.1,147.0,0.4,0.63,,,
932-029-R28694-N001-A9-Approved,26640,R28694,932-029,04-03-2021 14:36,Glu,1,9,3345,2.942,30.59,26.88,6.237,Approved,0.52,0.23,1.4,3.61,301.0,0.3,0.28,,,
932-029-R28731-N008-A2-Approved,26692,R28731,932-029,04-03-2021 14:28,Glu,8,2,3159,2.545,30.29,26.98,6.905,Approved,1.62,0.25,0.0,1.54,205.0,5.5,1.02,,,
932-029-R28731-N003-A5-Approved,26692,R28731,932-029,04-03-2021 14:14,Glu,3,5,3198,2.481,31.4,26.47,6.9129999999999985,Approved,1.6,0.35,1.1,3.68,265.0,2.7,0.26,,,
932-029-R28731-N002-A5-Approved,26692,R28731,932-029,04-03-2021 14:10,Glu,2,5,3200,2.631,30.59,27.04,6.395,Approved,1.62,0.3,0.3,3.96,183.0,0.2,0.83,,,
932-029-R28731-N001-A4-Approved,26692,R28731,932-029,04-03-2021 14:08,Glu,1,4,3202,2.708,30.52,26.98,6.9929999999999986,Approved,1.63,0.3,0.6,3.84,206.0,2.2,0.69,,,
932-029-R28708-N008-A12-Approved,26654,R28708,932-029,04-03-2021 13:28,Glu,8,12,3268,2.27,31.06,26.96,6.346,Approved,1.65,0.27,1.6,4.52,313.0,0.3,0.84,,,
932-029-R28708-N003-A11-Approved,26654,R28708,932-029,04-03-2021 13:14,Glu,3,11,3298,2.187,31.63,26.54,6.275,Approved,1.65,0.3,1.4,4.15,200.0,0.0,0.63,,,
932-029-R28708-N002-A4-Approved,26654,R28708,932-029,04-03-2021 13:10,Glu,2,4,3300,2.4090000000000003,31.9,26.52,7.061,Approved,1.63,0.37,1.5,3.97,313.0,2.0,0.72,,,
932-029-R28708-N001-A2-Approved,26654,R28708,932-029,04-03-2021 13:02,Glu,1,2,3305,2.458,30.66,27.0,6.88,Approved,1.73,0.21,1.0,4.12,286.0,1.3,0.35,,,
932-029-R28722-N008-A5-Approved,26668,R28722,932-029,04-03-2021 11:50,Glu,8,5,2794,2.428,30.25,27.32,6.495,Approved,1.6,0.26,0.7,4.17,131.0,0.1,0.8,,,
932-029-R28722-N003-A5-Approved,26668,R28722,932-029,04-03-2021 11:34,Glu,3,5,2802,2.535,29.8,27.19,6.3279999999999985,Approved,1.7,0.23,0.9,1.0,113.0,1.9,2.65,,,
932-029-R28722-N002-A3-Approved,26668,R28722,932-029,04-03-2021 11:32,Glu,2,3,2805,2.91,29.87,27.19,7.034,Approved,1.72,0.34,1.0,3.8,277.0,1.9,0.77,,,
932-029-R28722-N001-A8-Approved,26668,R28722,932-029,04-03-2021 11:28,Glu,1,8,2814,2.419,30.24,27.14,6.214,Approved,1.63,0.25,0.6,4.16,21.0,0.0,0.62,,,
932-029-R28684-N008-A3-Approved,26630,R28684,932-029,04-03-2021 11:10,Glu,8,3,4410,1.848,30.13,27.11,6.0779999999999985,Approved,1.53,0.14,0.4,0.85,116.0,6.2,2.49,,,
932-029-R28684-N003-A15-Approved,26630,R28684,932-029,04-03-2021 10:56,Glu,3,15,5988,1.906,29.46,27.23,6.0760000000000005,Approved,1.53,0.24,1.8,4.09,318.0,0.4,0.63,,,
932-029-R28684-N002-A1-Approved,26630,R28684,932-029,04-03-2021 10:52,Glu,2,1,5990,2.003,29.73,27.21,5.715,Approved,1.57,0.24,2.0,4.49,101.0,0.0,0.15,,,
932-029-R28684-N001-A9-Approved,26630,R28684,932-029,04-03-2021 10:50,Glu,1,9,5997,1.966,29.7,27.23,5.836,Approved,1.53,0.21,1.4,2.82,146.0,2.8,0.8,,,
932-029-R28724-N008-A1-Approved,26685,R28724,932-029,04-03-2021 10:46,Glu,8,1,3089,2.275,29.6,27.19,6.629,Approved,1.48,0.22,2.7,4.02,409.0,3.0,0.22,,,
932-029-R28724-N003-A3-Approved,26685,R28724,932-029,04-03-2021 10:32,Glu,3,3,3114,2.155,31.56,26.4,6.101,Approved,1.58,0.1,1.0,2.11,73.0,2.1,1.11,,,
932-029-R28724-N002-A8-Approved,26685,R28724,932-029,04-03-2021 10:28,Glu,2,8,3116,2.148,30.44,26.66,5.74,Approved,1.62,0.25,2.0,3.55,158.0,1.9,0.35,,,
932-029-R28724-N001-A7-Approved,26685,R28724,932-029,04-03-2021 10:22,Glu,1,7,3122,2.213,29.78,26.98,6.144,Approved,1.52,0.27,3.2,4.88,328.0,2.2,0.3,,,
932-029-R28720-N007-A14-Approved,26666,R28720,932-029,04-03-2021 09:10,Glu,7,14,4885,2.377,29.16,27.83,6.606,Approved,1.63,0.36,0.2,3.41,176.0,2.3,0.02,,,
932-029-R28720-N003-A8-Approved,26666,R28720,932-029,04-03-2021 08:58,Glu,3,8,4906,2.292,29.63,27.58,6.471,Approved,1.63,0.2,0.6,1.6,90.0,1.9,0.24,,,
932-029-R28720-N002-A6-Approved,26666,R28720,932-029,04-03-2021 08:56,Glu,2,6,4910,2.344,29.61,27.53,6.224,Approved,1.67,0.33,0.3,4.14,2.0,1.0,0.23,,,
932-029-R28720-N001-A13-Approved,26666,R28720,932-029,04-03-2021 08:52,Glu,1,13,4915,2.395,29.61,27.41,5.827000000000001,Approved,1.65,0.26,0.5,3.79,161.0,0.4,0.24,,,
932-029-R28713-N008-A15-Approved,26659,R28713,932-029,04-03-2021 08:40,Glu,8,15,798,2.477,30.86,26.54,6.175,Approved,1.38,0.25,2.2,4.09,280.0,3.3,1.04,,,
932-029-R28713-N003-A13-Approved,26659,R28713,932-029,04-03-2021 08:26,Glu,3,13,807,2.5580000000000003,29.97,26.89,6.402,Approved,1.48,0.28,3.7,3.7,371.0,1.7,0.59,,,
932-029-R28713-N002-A11-Approved,26659,R28713,932-029,04-03-2021 08:22,Glu,2,11,810,2.444,28.62,27.51,5.742000000000001,Approved,1.45,0.28,2.3,4.0,312.0,0.8,0.75,,,
932-029-R28713-N001-A9-Approved,26659,R28713,932-029,04-03-2021 08:20,Glu,1,9,811,2.61,28.62,27.49,6.218,Approved,1.48,0.31,0.9,3.97,228.0,0.3,0.61,,,
932-029-R28715-N008-A10-Approved,26661,R28715,932-029,04-03-2021 08:16,Glu,8,10,3221,2.478,29.06,27.42,5.941,Approved,1.78,0.27,0.6,3.37,317.0,1.7,0.57,,,
932-029-R28715-N003-A11-Approved,26661,R28715,932-029,04-03-2021 08:02,Glu,3,11,3251,2.466,29.01,27.12,5.8,Approved,1.88,0.18,0.2,1.86,221.0,1.9,0.38,,,
932-029-R28715-N002-A4-Approved,26661,R28715,932-029,04-03-2021 07:58,Glu,2,4,3252,2.446,29.48,26.98,5.961,Approved,1.9,0.2,0.2,1.69,229.0,2.1,1.44,,,
