2/1 mM Glu/Lac [mM],1 mM H2O2 [mM],40/25 mM glu/lac høj O2,Sensitivity [pA/µM],t on 10/5 mM glu/lac [s],Lav O2 - Høj O2
0.2,0.2,4.25,730,0.4,0.21
0.23,0.0,3.82,479,0.8,0.62
0.19,0.9,4.85,438,0.6,0.61
0.37,3.5,3.71,458,0.3,0.42
0.42,3.9,3.98,495,1.1,0.42
0.45,3.4,4.28,495,1.0,0.05
0.4,2.0,4.57,475,0.0,0.48
0.19,0.8,1.99,342,7.2,2.03
0.26,1.6,1.28,355,6.8,1.97
0.38,1.8,3.21,510,4.7,0.4
0.24,0.4,3.87,419,0.3,0.12
0.09,0.2,1.37,442,21.8,4.11
0.35,2.8,4.38,431,0.9,0.55
0.41,1.8,3.95,427,0.6,0.5
0.3,2.0,4.5,417,1.7,0.02
0.1,1.8,0.95,374,11.4,2.83
0.65,4.0,4.24,460,1.8,0.59
0.42,3.1,4.02,431,0.7,0.38
0.29,1.0,4.28,424,1.6,0.1
0.3,1.0,3.72,413,1.4,0.08
0.27,1.7,4.78,493,1.4,0.03
0.16,0.5,3.36,342,8.3,2.79
0.05,0.5,0.39,213,6.5,3.77
0.43,2.5,3.32,403,2.2,0.56
0.15,0.2,0.26,10,7.8,3.08
0.05,0.1,1.55,330,9.2,2.64
0.26,1.5,5.31,459,3.3,0.12
0.23,0.0,1.61,362,6.9,2.5
0.31,0.8,3.45,364,6.0,1.13
0.05,0.2,1.14,221,5.9,2.25
0.32,0.8,3.73,443,2.8,0.86
0.29,3.8,4.57,448,0.6,0.1
0.29,0.9,3.78,457,3.5,0.63
0.18,1.9,3.02,236,5.8,3.55
0.14,0.0,1.09,314,10.5,3.6
0.26,0.0,4.4,429,3.8,0.33
0.29,0.4,0.66,364,19.7,2.65
0.24,1.2,4.3,318,7.9,1.23
0.18,1.9,4.49,516,0.2,0.97
0.24,1.2,4.51,159,5.8,0.96
0.17,2.6,4.15,535,2.8,0.59
0.12,0.7,6.79,538,14.4,7.27
0.25,1.5,3.95,529,1.6,0.26
0.16,1.1,2.18,384,7.0,0.7
0.22,0.8,4.04,475,5.1,0.91
0.18,1.8,4.78,487,0.9,0.75
0.18,2.2,4.92,495,5.0,0.44
0.22,0.3,4.22,709,0.8,1.8
0.23,0.1,5.06,930,0.2,1.67
0.23,0.1,4.57,856,0.5,0.89
0.08,0.8,7.66,140,0.1,0.33
0.2,0.1,5.36,525,0.9,0.56
0.3,1.5,4.4,446,5.7,0.06
0.26,0.6,5.29,470,0.9,0.13
0.26,0.4,5.36,435,0.8,0.24
0.18,0.6,4.53,281,0.2,0.98
0.21,0.1,4.06,38,1.2,1.14
0.21,0.3,4.3,115,0.8,1.19
0.34,1.1,4.41,364,1.3,0.54
0.24,0.4,4.98,96,0.5,0.41
0.26,0.7,4.44,256,0.3,0.49
0.26,1.1,4.53,232,0.9,0.81
0.27,0.1,4.26,105,0.5,0.59
0.26,1.0,3.92,350,0.1,0.62
0.21,0.5,4.85,145,0.3,0.55
0.17,0.5,3.64,283,1.8,0.21
0.21,0.6,3.39,212,0.7,0.27
0.19,1.3,4.29,213,2.8,0.41
0.22,1.0,4.59,208,1.2,0.53
0.22,1.2,4.93,304,0.3,0.35
0.22,1.2,4.85,252,0.0,0.07
0.17,0.4,2.09,59,3.2,1.12
0.17,0.2,1.83,360,3.3,0.85
0.21,0.7,4.63,262,0.6,0.51
0.21,0.3,3.13,202,1.4,0.64
0.31,0.6,4.53,212,0.3,0.14
0.24,1.2,4.68,397,0.1,0.45
0.22,0.6,4.38,142,0.3,0.63
0.15,0.5,4.02,108,1.8,0.19
0.15,0.2,3.13,340,1.1,1.4
0.2,2.0,4.89,395,1.0,0.64
0.23,0.6,4.21,22,1.1,0.48
0.22,0.4,4.46,75,0.9,0.33
0.37,1.6,3.59,317,1.1,0.03
0.36,1.3,4.15,352,0.1,0.57
0.26,0.5,2.9,67,3.1,1.26
0.26,0.5,2.9,67,3.1,1.26
0.31,1.4,4.61,232,0.6,0.39
0.31,1.4,4.61,232,0.6,0.39
0.37,0.7,3.76,206,1.4,0.42
0.37,0.7,3.76,206,1.4,0.42
0.33,0.2,2.75,140,2.2,1.33
0.33,0.2,2.75,140,2.2,1.33
0.36,1.1,3.67,183,1.0,0.58
0.36,1.1,3.67,183,1.0,0.58
0.39,0.7,4.1,153,0.2,0.28
0.39,0.7,4.1,153,0.2,0.28
0.29,3.2,4.58,299,1.2,0.33
0.29,3.2,4.58,299,1.2,0.33
0.31,2.6,4.41,190,1.0,0.04
0.31,2.6,4.41,190,1.0,0.04
0.21,0.8,2.28,231,2.4,0.77
0.21,0.8,2.28,231,2.4,0.77
0.23,0.8,3.86,57,0.0,0.41
0.23,0.8,3.86,57,0.0,0.41
0.35,0.3,4.14,339,0.5,1.03
0.35,0.3,4.14,339,0.5,1.03
0.16,0.9,3.35,394,2.0,0.78
0.16,0.9,3.35,394,2.0,0.78
0.24,0.3,3.67,183,1.1,0.14
0.24,0.3,3.67,183,1.1,0.14
0.23,0.7,4.48,261,1.4,0.01
0.23,0.7,4.48,261,1.4,0.01
0.25,0.3,4.1,246,1.7,0.63
0.25,0.3,4.1,246,1.7,0.63
0.19,1.2,4.2,287,1.7,0.0
0.19,1.2,4.2,287,1.7,0.0
0.14,2.0,3.41,144,1.5,0.95
0.14,2.0,3.41,144,1.5,0.95
0.24,1.9,4.36,237,0.5,0.34
0.24,1.9,4.36,237,0.5,0.34
0.24,1.9,4.36,34,0.3,0.01
0.24,1.9,4.36,34,0.3,0.01
0.4,1.1,4.83,378,1.5,0.34
0.4,1.1,4.83,378,1.5,0.34
0.2,2.4,2.53,3,1.2,1.74
0.2,2.4,2.53,3,1.2,1.74
0.27,1.6,4.76,175,0.4,0.21
0.27,1.6,4.76,175,0.4,0.21
0.24,1.3,4.51,268,0.2,0.37
0.24,1.3,4.51,268,0.2,0.37
0.19,1.7,4.3,215,0.6,0.2
0.19,1.7,4.3,215,0.6,0.2
0.19,2.1,2.98,8,1.7,1.51
0.19,2.1,2.98,8,1.7,1.51
0.24,1.8,4.84,2,0.4,0.36
0.24,1.8,4.84,2,0.4,0.36
0.2,0.8,4.08,173,0.1,0.09
0.2,0.8,4.08,173,0.1,0.09
0.24,1.2,4.49,195,0.8,0.39
0.24,1.2,4.49,195,0.8,0.39
0.24,1.1,4.75,245,1.2,0.43
0.24,1.1,4.75,245,1.2,0.43
0.17,1.0,3.17,275,0.3,0.54
0.17,1.0,3.17,275,0.3,0.54
0.23,0.4,3.57,81,1.3,1.11
0.23,0.4,3.57,81,1.3,1.11
0.29,0.9,4.48,260,0.5,0.69
0.29,0.9,4.48,260,0.5,0.69
0.3,0.8,3.77,260,0.0,0.14
