bcr_dir,RunNumberPartNumberID,RunNumber,PartNumber,ca_time,ym_time,Sensor,BoardNumber,ArrayNumber,time_betw_scan_min,CA,CA Humidity,CA Temperature,YM,YM Humidity,YM Temperature,CA_cav_dia,CA_void_cav,CA_cav_depth,Ca_void_mem,CA_overlap_min,CA_overlap_max,YM_void_mem,Class,Tid efter start [timer],2/1 mM Glu/Lac [mM],1 mM H2O2 [mM],40/25 mM glu/lac høj O2,Sensitivity [pA/µM],t on 10/5 mM glu/lac [s],Lav O2 - Høj O2
932-029-R29051-N002-A15-Failed,27250,R29051,932-029,24-03-2021 14:20,29-03-2021 19:44,Glu,2,15,819,2.49,31.8,26.1,4.9510000000000005,28.2,26.12,1183.87,23.783,56.33600000000001,27.44,83.993,167.987,29.519,Failed,4.4,0.25000000000000006,0.05,0.5391891891891892,0.782608695652174,0.01834862385321101,0.02620689655172414
932-029-R29051-N001-A2-Failed,27250,R29051,932-029,24-03-2021 14:18,29-03-2021 19:38,Glu,1,2,821,2.562,31.67,26.38,5.506,27.96,26.28,1184.46,23.752,56.629,27.68,78.744,188.985,29.396,Failed,4.3,0.3,0.0,0.481081081081081,0.5097826086956522,0.03669724770642202,0.08275862068965517
,27207,R29026,932-029,24-03-2021 12:30,25-03-2021 23:00,Glu,8,8,1382,2.533,31.36,26.45,5.539,27.71,27.02,1178.17,22.109,60.775,25.887,115.491,178.486,28.53,Failed,2.67,0.23333333333333336,0.225,0.6202702702702703,0.4652173913043478,0.027522935779816512,0.08137931034482758
,27218,R29037,932-029,24-03-2021 08:08,25-03-2021 14:22,Glu,2,11,1894,2.471,32.78,25.59,5.874,28.32,26.73,1153.15,22.263,60.56399999999999,27.817,100.264,200.527,30.0,Failed,1.95,0.5333333333333333,0.875,0.46621621621621623,0.48695652173913045,0.013761467889908256,0.05517241379310344
,27197,R29016,932-029,24-03-2021 01:12,25-03-2021 11:14,Glu,2,2,2535,2.383,29.21,27.16,5.728,26.97,26.88,1159.23,22.474,59.131,28.075,110.818,200.527,30.341,Failed,2.0,0.6166666666666667,0.975,0.5027027027027027,0.5271739130434783,0.05045871559633028,0.05517241379310344
,27267,R29068,932-029,24-03-2021 17:02,25-03-2021 07:56,Glu,1,1,1359,2.494,30.32,26.89,6.143,31.77,26.21,1171.61,24.461,60.363,31.097,142.48,179.419,33.211,Failed,1.9,0.6666666666666667,0.85,0.5432432432432432,0.5271739130434783,0.04587155963302752,0.004137931034482759
932-029-R29017-N002-A8-Failed,27198,R29017,932-029,24-03-2021 01:58,25-03-2021 04:50,Glu,2,8,1282,2.373,32.72,25.5,5.755,27.71,26.59,1172.75,22.709,57.994,28.2,121.372,174.142,29.783,Failed,0.6,0.5833333333333334,0.5,0.5824324324324325,0.5054347826086957,0.0,0.06344827586206896
932-029-R29017-N001-A15-Failed,27198,R29017,932-029,24-03-2021 02:20,25-03-2021 04:44,Glu,1,15,1283,2.438,31.33,26.52,6.121,28.89,26.36,1167.23,22.329,56.81,28.182,116.095,189.973,29.25,Failed,0.67,0.23333333333333336,0.2,0.23378378378378378,0.36086956521739133,0.3302752293577982,0.2772413793103448
932-029-R29049-N003-A1-Failed,27248,R29049,932-029,24-03-2021 09:06,25-03-2021 03:22,Glu,3,1,2293,2.624,34.68,24.53,5.955,28.02,26.54,1166.77,20.772,61.56800000000001,30.254,115.62,183.941,28.972,Failed,1.9,0.35000000000000003,0.4,0.13783783783783785,0.375,0.3119266055045871,0.2689655172413793
,27201,R29020,932-029,24-03-2021 04:20,25-03-2021 02:34,Glu,2,15,1709,2.373,34.56,25.0,6.183,28.05,26.52,1181.54,20.122,59.44300000000001,27.413,100.227,211.005,25.805,Failed,0.53,0.55,0.45,0.39864864864864863,0.5434782608695652,0.21559633027522937,0.05241379310344828
932-029-R29018-N002-A13-Failed,27199,R29018,932-029,23-03-2021 08:10,24-03-2021 22:38,Glu,2,13,2273,2.412,27.44,28.62,5.2360000000000015,28.55,25.25,1168.89,22.38,58.496,27.746,105.541,200.527,29.724,Failed,1.33,0.3166666666666667,0.1,0.48783783783783785,0.44456521739130433,0.013761467889908256,0.01379310344827586
932-029-R29007-N008-A12-Failed,27170,R29007,932-029,24-03-2021 01:06,24-03-2021 15:34,Glu,8,12,2014,2.389,29.71,27.11,5.859,27.78,25.45,1168.8,26.793000000000006,64.44800000000001,31.28,120.741,188.985,33.578,Failed,1.3,0.06666666666666667,0.05,0.15,0.46956521739130436,1.0,0.5641379310344828
,27212,R29031,932-029,23-03-2021 23:00,24-03-2021 14:00,Glu,8,14,2053,2.255,29.75,26.68,6.2570000000000014,27.81,26.1,1163.35,22.02,56.585,26.136,110.241,204.734,27.531,Failed,1.9,0.5,0.7,0.5567567567567567,0.45760869565217394,0.04128440366972477,0.07310344827586207
932-029-R29019-N002-A5-Failed,27200,R29019,932-029,23-03-2021 05:38,24-03-2021 12:44,Glu,2,5,2517,2.497,29.55,26.58,6.218,28.77,26.61,1171.06,20.854,58.526,28.818,121.328,211.005,26.913,Failed,1.4,0.6,0.45,0.49864864864864866,0.4532608695652174,0.027522935779816512,0.06620689655172414
932-029-R29012-N002-A10-Failed,27175,R29012,932-029,23-03-2021 11:44,24-03-2021 11:54,Glu,2,10,2449,2.449,30.74,27.05,5.916,29.61,26.51,1161.9,18.897,59.536,27.738000000000003,105.109,178.685,26.735,Failed,1.32,0.4166666666666667,0.5,0.572972972972973,0.4423913043478261,0.07798165137614678,0.0
,27082,R28982,932-029,23-03-2021 09:06,24-03-2021 11:20,Glu,3,8,1732,2.627,27.95,27.92,6.412000000000001,28.47,26.66,1168.68,22.81,62.902,28.682,84.432,168.865,30.164,Failed,1.9,0.08333333333333334,0.45,0.09324324324324323,0.39565217391304347,0.5229357798165137,0.3875862068965517
,27082,R28982,932-029,23-03-2021 09:04,24-03-2021 11:14,Glu,2,6,1732,2.553,28.08,27.88,6.061,27.75,26.63,1157.63,23.206,63.379,29.456,94.987,211.081,29.698,Failed,1.87,1.0,1.0,0.5378378378378379,0.4891304347826087,0.08256880733944955,0.07862068965517241
,27082,R28982,932-029,23-03-2021 09:00,24-03-2021 11:10,Glu,1,4,1744,2.484,28.49,27.92,6.037999999999999,27.95,26.58,1147.95,23.91,66.132,30.038,73.878,205.804,30.572,Failed,1.88,0.6166666666666667,0.775,0.508108108108108,0.45760869565217394,0.03211009174311926,0.0496551724137931
932-029-R29004-N008-A4-Failed,27167,R29004,932-029,23-03-2021 06:20,24-03-2021 11:04,Glu,8,4,1715,2.414,29.02,26.95,6.121,28.32,26.63,1171.83,25.305,60.913,29.734,125.99,204.734,31.124,Failed,1.3,0.4,0.25,0.5432432432432432,0.45,0.07339449541284404,0.01103448275862069
932-029-R29023-N008-A12-Failed,27204,R29023,932-029,23-03-2021 06:44,24-03-2021 09:24,Glu,8,12,2747,2.492,27.76,27.87,5.659,28.05,25.6,1163.17,19.0,60.731,27.743,110.364,194.452,26.446,Failed,2.1,0.4166666666666667,0.25,0.46756756756756757,0.4380434782608696,0.06422018348623852,0.008275862068965517
932-029-R29032-N003-A13-Failed,27213,R29032,932-029,23-03-2021 06:54,24-03-2021 08:14,Glu,3,13,1848,2.463,28.12,28.04,5.827000000000001,29.43,26.59,1160.96,22.068,59.227,28.07,110.818,189.973,30.286,Failed,1.42,0.36666666666666675,0.425,0.6108108108108108,0.525,0.06422018348623852,0.001379310344827586
932-029-R29032-N002-A9-Failed,27213,R29032,932-029,23-03-2021 06:50,24-03-2021 08:08,Glu,2,9,1850,2.634,27.85,27.97,6.051,29.44,26.52,1161.38,22.617,65.297,28.412,94.987,179.419,29.248,Failed,1.4,0.18333333333333335,0.125,0.41891891891891886,0.36086956521739133,0.38073394495412843,0.3820689655172414
,27164,R29001,932-029,23-03-2021 07:46,24-03-2021 07:24,Glu,2,8,1154,2.49,26.97,28.75,6.0120000000000005,27.71,26.52,1182.34,21.79,56.757,25.535,94.493,178.486,26.521,Failed,1.28,0.0,0.125,0.01756756756756757,0.22065217391304348,0.2981651376146789,0.5172413793103449
