time_betw_scan_hours,CA,YM,2/1 mM Glu/Lac [mM],1 mM H2O2 [mM],40/25 mM glu/lac høj O2,Sensitivity [pA/µM],t on 10/5 mM glu/lac [s],Lav O2 - Høj O2
1364.000,2.633,6.202,0.340,1.400,4.410,105.000,1.100,0.390
3036.000,2.713,6.768,0.230,1.500,4.750,335.000,1.700,0.390
65.000,2.660,6.939,0.400,3.100,3.090,369.000,2.800,0.240
1348.000,2.690,6.288,0.360,1.000,2.880,144.000,1.800,0.970
4860.000,2.702,5.981,0.380,1.000,3.870,110.000,2.800,0.650
2767.000,2.590,6.756,0.170,0.600,4.670,295.000,2.600,0.120
1110.000,2.925,6.667,0.170,0.500,1.750,66.000,3.000,0.540
128.000,2.574,6.896,0.180,0.000,3.920,242.000,0.700,0.040
1795.000,2.810,6.217,0.290,0.500,4.570,245.000,1.400,0.100
1401.000,2.836,5.814,0.190,0.200,4.520,58.000,0.100,0.370
1496.000,3.107,7.017,0.290,1.800,3.590,195.000,1.200,0.470
1334.000,2.943,6.019,0.260,0.000,4.740,100.000,0.000,0.030
6064.000,2.537,6.422,0.330,0.400,3.490,124.000,1.400,0.730
548.000,2.729,7.323,0.390,2.900,2.860,331.000,0.700,0.530
1573.000,2.560,6.599,0.380,0.000,4.190,280.000,1.400,0.080
1340.000,2.072,6.337,0.300,2.000,4.830,45.000,0.300,0.030
2697.000,2.639,5.739,0.080,0.100,3.360,168.000,0.400,0.060
1195.000,2.713,6.728,0.330,0.900,4.670,233.000,1.200,0.390
3843.000,2.882,7.144,0.350,0.700,3.720,297.000,3.100,0.230
5275.000,2.728,6.249,0.280,0.200,5.090,33.000,0.900,0.240
508.000,2.554,6.491,0.310,0.800,4.350,179.000,1.300,0.160
1326.000,3.002,6.295,0.280,0.300,3.990,139.000,1.200,0.400
6920.000,2.502,6.353,0.340,0.600,4.100,77.000,0.000,0.430
1143.000,2.561,6.051,0.440,0.200,4.550,54.000,1.300,0.340
918.000,2.660,6.483,0.200,0.400,3.440,94.000,2.200,0.320
15525.000,2.424,5.558,0.220,0.200,4.870,1.000,0.200,0.280
1550.000,2.451,6.498,0.310,0.700,3.330,309.000,1.700,0.580
3804.000,2.520,5.993,0.240,0.400,4.120,241.000,0.200,0.240
3084.000,2.750,6.737,0.250,0.000,3.650,202.000,3.500,0.110
1174.000,2.655,6.353,0.370,0.800,4.630,214.000,0.400,0.220
2359.000,2.530,6.664,0.290,0.900,4.900,145.000,0.100,0.410
20163.000,2.558,6.140,0.360,0.400,5.450,201.000,1.800,0.750
1407.000,2.707,6.651,0.290,0.600,3.550,237.000,0.400,0.770
4048.000,2.466,6.980,0.270,0.800,4.750,81.000,0.700,0.290
1142.000,2.935,7.281,0.240,1.600,4.240,336.000,2.700,0.280
489.000,2.527,6.656,0.310,0.900,3.920,86.000,0.200,0.440
4274.000,2.582,5.797,0.240,0.200,3.810,5.000,0.600,0.380
1751.000,2.930,6.718,0.260,1.200,4.210,295.000,2.100,0.330
975.000,2.747,6.717,0.190,0.300,2.400,186.000,2.100,0.400
2565.000,2.440,6.648,0.190,0.000,3.360,334.000,1.100,1.230
1267.000,2.507,6.724,0.340,2.200,4.580,43.000,0.900,0.170
6935.000,2.687,6.457,0.160,0.400,3.150,331.000,3.800,0.500
1656.000,2.866,6.449,0.260,0.500,3.800,166.000,1.800,0.030
163.000,2.513,5.648,0.260,0.200,4.290,76.000,0.100,0.710
2003.000,2.723,6.689,0.280,0.600,3.910,222.000,0.300,0.680
5452.000,2.807,5.921,0.240,0.300,5.100,157.000,0.100,0.110
269.000,2.580,5.966,0.320,0.600,5.140,37.000,0.300,0.130
4314.000,2.690,6.290,0.260,2.900,4.670,269.000,0.800,0.020
2870.000,2.652,6.403,0.240,1.800,4.540,50.000,0.300,0.300
2570.000,2.409,6.734,0.440,2.300,4.700,133.000,3.100,0.060
1428.000,2.905,5.921,0.200,0.700,4.850,132.000,0.500,0.070
4413.000,2.470,5.740,0.160,1.000,2.160,11.000,1.100,1.160
1077.000,2.960,6.367,0.240,0.300,3.710,293.000,0.700,0.490
1931.000,2.801,6.416,0.260,2.300,3.660,283.000,2.100,0.340
1609.000,2.250,5.972,0.160,0.400,3.570,201.000,0.600,0.780
1159.000,2.434,6.247,0.290,0.900,3.850,60.000,0.500,0.130
1781.000,2.554,6.023,0.210,0.600,3.600,74.000,0.500,0.660
2550.000,2.357,6.335,0.310,1.200,4.640,202.000,0.200,0.260
389.000,2.475,6.587,0.430,0.800,4.660,163.000,0.900,0.510
236.000,2.792,6.181,0.300,0.900,3.530,226.000,1.800,0.390
1386.000,2.412,6.017,0.250,0.500,3.790,8.000,0.200,0.560
1177.000,2.784,6.008,0.280,0.400,3.250,152.000,2.000,0.120
1326.000,2.312,6.270,0.330,1.500,4.110,76.000,0.100,0.470
1474.000,2.754,6.632,0.220,0.100,4.600,246.000,1.900,0.320
847.000,2.675,6.318,0.270,0.500,4.410,144.000,0.800,0.020
1978.000,2.549,6.107,0.180,1.400,4.790,163.000,0.200,0.370
1090.000,2.477,6.455,0.360,0.500,5.060,250.000,1.400,0.180
1328.000,2.620,6.503,0.290,0.300,1.100,307.000,2.000,2.590
1381.000,2.635,5.727,0.310,0.200,4.680,180.000,1.000,0.110
9651.000,2.764,5.557,0.330,0.200,3.970,29.000,0.400,0.360
8422.000,2.406,6.503,0.260,0.700,4.270,212.000,0.100,0.410
1511.000,2.702,6.148,0.290,1.000,4.160,73.000,0.200,0.470
1511.000,2.656,6.251,0.140,0.100,2.060,4.000,1.800,1.210
980.000,2.294,6.336,0.450,0.200,3.810,145.000,0.900,0.210
219.000,2.670,6.745,0.360,1.200,4.360,227.000,0.200,0.220
1399.000,2.899,6.376,0.250,2.600,4.020,293.000,1.500,0.580
7517.000,2.496,6.433,0.260,1.100,4.960,3.000,0.300,0.260
1729.000,2.857,6.592,0.270,0.100,3.590,99.000,2.000,0.530
1371.000,2.628,5.919,0.200,0.800,4.450,15.000,0.100,0.110
1694.000,2.484,6.289,0.360,0.500,3.590,29.000,1.200,1.000
5197.000,2.790,5.970,0.170,0.200,4.020,24.000,0.500,0.910
644.000,2.703,6.882,0.300,0.100,2.660,128.000,3.800,1.620
1901.000,2.741,6.361,0.320,1.600,4.190,229.000,0.300,0.580
253.000,2.375,6.175,0.300,0.600,3.830,40.000,0.700,0.490
1356.000,2.574,6.072,0.330,1.400,4.800,104.000,0.600,0.230
1431.000,2.765,6.327,0.240,0.200,4.930,71.000,0.700,0.160
7.000,2.516,6.135,0.270,2.000,4.350,137.000,0.100,1.460
1307.000,2.630,6.581,0.280,1.400,3.880,323.000,2.400,0.480
1122.000,2.523,6.206,0.270,1.500,4.440,63.000,0.100,0.500
2894.000,2.666,5.897,0.200,0.700,2.400,282.000,0.700,1.700
1683.000,2.734,6.185,0.320,0.600,2.990,89.000,0.300,0.760
1333.000,2.535,6.288,0.320,0.500,3.590,142.000,3.500,1.300
3130.000,2.605,6.050,0.280,0.400,3.770,18.000,0.900,0.540
1871.000,2.519,6.056,0.230,0.500,4.450,78.000,0.300,0.050
627.000,2.630,6.239,0.330,1.800,4.560,123.000,0.900,0.040
2899.000,2.840,6.490,0.220,0.200,3.000,209.000,3.000,0.870
1025.000,2.583,6.318,0.300,0.500,3.110,90.000,0.200,0.670
386.000,2.546,6.213,0.310,0.800,4.060,155.000,0.100,0.410
1927.000,2.770,6.141,0.230,0.400,3.880,161.000,0.600,0.510
1188.000,2.657,6.628,0.290,0.600,4.280,245.000,0.400,0.860
5287.000,2.651,6.545,0.250,1.600,4.230,193.000,0.200,0.350
5730.000,2.536,6.655,0.420,1.200,4.630,267.000,0.800,0.080
1781.000,2.554,6.023,0.210,0.600,3.600,74.000,0.500,0.660
1380.000,2.781,6.661,0.320,0.400,5.780,29.000,0.300,0.010
411.000,2.514,6.526,0.210,0.800,3.380,64.000,1.200,0.980
413.000,2.401,6.535,0.370,1.100,3.610,30.000,1.000,0.600
7212.000,2.688,6.272,0.420,1.700,4.510,229.000,0.100,0.030
2032.000,2.465,6.325,0.410,1.400,4.730,129.000,0.100,0.460
1214.000,2.590,5.352,0.310,0.200,3.640,159.000,2.200,0.640
4375.000,2.800,6.712,0.260,0.500,3.820,220.000,1.100,0.040
8651.000,2.818,6.718,0.310,1.100,4.120,324.000,3.500,0.300
1504.000,2.619,6.503,0.320,0.500,4.590,93.000,0.400,0.250
3151.000,2.601,6.086,0.360,0.700,3.920,39.000,1.900,1.240
1168.000,2.652,5.849,0.310,0.800,4.690,170.000,1.100,0.220
2643.000,2.301,5.813,0.230,0.100,3.970,81.000,0.700,0.640
1466.000,2.640,6.401,0.280,0.400,1.350,244.000,5.200,2.320
1439.000,2.719,5.658,0.370,0.500,3.570,208.000,0.500,0.240
8013.000,2.700,6.125,0.180,1.300,4.050,158.000,0.400,0.280
344.000,2.357,7.079,0.450,0.400,3.750,126.000,3.600,0.070
1953.000,2.667,5.993,0.300,1.300,4.430,97.000,0.700,0.400
1521.000,2.700,5.805,0.080,0.900,2.460,14.000,1.600,0.660
1231.000,2.773,6.269,0.260,1.400,4.450,30.000,0.100,0.120
8471.000,2.795,6.974,0.210,1.600,3.340,302.000,3.800,0.810
2605.000,2.852,5.933,0.250,0.800,3.930,125.000,0.500,1.140
2895.000,2.645,5.805,0.170,0.400,5.250,25.000,0.200,0.260
1757.000,2.519,6.281,0.290,0.000,4.490,65.000,1.100,0.360
1584.000,2.330,6.580,0.290,0.200,3.500,247.000,1.000,0.790
1060.000,2.912,6.158,0.200,1.000,3.990,179.000,0.200,0.260
1832.000,2.499,6.648,0.300,0.200,0.840,116.000,3.100,2.110
3462.000,2.479,6.250,0.300,0.400,3.510,179.000,0.400,0.270
1127.000,2.618,5.818,0.230,1.100,4.880,28.000,1.100,0.020
2554.000,2.720,6.744,0.290,1.300,3.360,279.000,1.300,0.100
1868.000,2.738,6.469,0.390,1.300,4.090,281.000,0.300,0.320
1549.000,2.485,6.602,0.460,1.500,3.970,280.000,1.100,0.240
1011.000,2.594,5.891,0.270,0.200,4.950,26.000,1.700,1.690
1950.000,2.631,6.329,0.380,0.600,2.840,227.000,3.100,0.650
5393.000,2.780,6.427,0.130,0.900,0.410,106.000,4.500,1.990
14030.000,2.665,5.873,0.350,1.700,4.770,62.000,0.600,0.050
6762.000,2.791,6.433,0.230,0.400,2.840,242.000,2.700,0.370
6134.000,2.581,6.155,0.330,1.300,4.580,23.000,0.600,0.210
5434.000,2.700,5.678,0.240,0.600,5.430,81.000,0.300,0.220
1708.000,2.790,6.815,0.220,0.100,3.860,123.000,3.800,0.550
1103.000,2.650,5.711,0.300,1.100,4.110,144.000,0.500,0.560
952.000,2.595,6.233,0.270,0.400,3.330,118.000,0.500,0.410
2496.000,2.889,5.635,0.230,2.000,4.600,271.000,0.600,0.070
8953.000,2.785,5.806,0.250,1.000,4.170,8.000,0.800,0.030
1703.000,2.411,5.550,0.240,1.500,3.310,120.000,0.600,0.640
7163.000,2.950,6.157,0.210,1.900,5.110,187.000,0.300,0.130
2565.000,2.603,5.829,0.250,0.900,1.110,34.000,0.900,0.170
2537.000,2.633,6.001,0.200,0.700,2.760,73.000,0.800,0.060
1359.000,2.530,5.524,0.220,1.100,5.190,75.000,1.200,0.320
472.000,2.812,6.816,0.310,1.000,4.870,212.000,0.000,0.380
1605.000,2.408,5.722,0.240,1.200,4.480,32.000,0.000,0.550
5708.000,2.614,5.890,0.280,0.200,4.310,163.000,0.400,0.410
6837.000,2.841,6.162,0.280,0.600,3.570,186.000,0.400,0.750
1395.000,2.570,6.169,0.330,1.500,3.930,343.000,0.100,0.090
2414.000,2.444,5.731,0.220,0.200,3.950,189.000,0.800,0.330
0.000,2.678,6.357,0.400,0.500,4.090,225.000,0.200,0.050
1915.000,2.712,6.214,0.280,0.700,5.120,136.000,0.300,0.130
1246.000,2.583,6.557,0.110,0.200,1.920,88.000,2.000,1.730
2339.000,2.601,6.517,0.370,0.600,4.420,141.000,0.800,0.120
1526.000,2.700,6.617,0.200,0.800,4.180,270.000,2.400,0.560
1267.000,2.537,6.447,0.270,0.200,4.390,172.000,1.000,0.450
292.000,2.613,7.273,0.290,1.700,3.350,173.000,3.800,0.650
3161.000,2.671,7.292,0.270,1.800,3.540,296.000,1.800,0.040
3193.000,2.606,6.939,0.310,1.500,3.660,154.000,4.300,0.190
1456.000,2.543,5.614,0.240,1.100,4.830,56.000,0.400,0.360
663.000,2.438,5.600,0.330,0.100,3.960,187.000,0.300,0.440
995.000,2.496,5.897,0.280,0.900,4.190,156.000,1.000,1.120
1353.000,2.564,6.228,0.230,0.200,0.750,193.000,1.500,2.520
12531.000,2.922,5.498,0.170,0.200,3.880,91.000,0.200,0.340
1363.000,2.471,7.188,0.350,1.200,4.680,387.000,1.800,0.580
1843.000,2.766,6.030,0.370,1.600,3.360,264.000,1.200,0.580
12.000,2.445,5.736,0.240,0.500,3.000,71.000,0.200,1.290
1761.000,2.408,6.600,0.410,1.900,4.920,326.000,1.200,0.540
1490.000,2.704,6.935,0.320,0.600,3.200,219.000,2.100,0.910
1466.000,2.630,6.558,0.260,0.300,2.870,26.000,2.600,2.040
1170.000,2.735,6.619,0.340,0.900,4.170,60.000,0.300,0.100
41.000,2.313,6.428,0.300,2.800,4.770,249.000,1.800,0.560
6165.000,2.680,6.430,0.410,2.000,4.660,205.000,0.100,0.540
1142.000,2.935,7.281,0.240,1.600,4.240,336.000,2.700,0.280
2701.000,2.588,6.016,0.330,0.300,4.140,10.000,0.400,0.290
1379.000,2.564,6.241,0.300,0.000,3.750,74.000,1.100,0.940
6030.000,2.733,6.157,0.320,1.800,4.610,31.000,0.500,0.220
1083.000,2.484,6.578,0.280,1.800,4.090,284.000,1.200,0.310
2094.000,2.671,5.711,0.300,2.000,4.820,167.000,0.200,0.350
1128.000,2.854,6.526,0.240,0.800,2.040,103.000,0.200,0.720
1409.000,2.690,7.234,0.240,1.000,3.640,386.000,4.000,0.210
7331.000,2.811,6.480,0.260,0.100,3.960,229.000,2.400,1.520
9104.000,2.446,6.153,0.460,0.600,3.190,264.000,2.200,0.310
6858.000,2.676,6.209,0.290,0.400,4.230,128.000,0.100,0.120
1510.000,2.688,6.819,0.340,0.500,4.750,221.000,0.500,0.530
1272.000,2.680,6.629,0.260,0.500,2.930,157.000,4.000,0.900
4810.000,2.715,5.792,0.270,1.200,4.080,44.000,0.000,0.020
1690.000,2.508,6.295,0.290,0.600,4.170,203.000,1.000,0.150
1437.000,2.697,6.266,0.290,0.200,4.090,111.000,1.300,0.050
1473.000,2.432,5.824,0.320,0.000,4.740,90.000,0.500,0.040
7700.000,2.695,6.429,0.310,0.400,4.180,164.000,0.600,0.000
1539.000,2.751,5.986,0.240,0.300,4.320,204.000,0.600,0.110
2305.000,2.660,6.549,0.250,1.600,4.160,264.000,0.000,0.290
1636.000,2.613,6.032,0.270,2.800,4.610,391.000,1.700,0.310
2838.000,2.631,5.858,0.110,0.100,3.570,210.000,0.500,0.080
1833.000,2.475,6.394,0.320,0.700,4.830,94.000,0.600,0.120
2924.000,2.680,5.898,0.200,0.400,2.810,208.000,0.100,1.880
2707.000,2.710,6.048,0.360,0.400,4.930,152.000,1.000,0.310
4264.000,2.580,6.448,0.280,0.600,4.460,33.000,0.100,0.490
1048.000,2.680,6.150,0.360,0.300,4.560,31.000,0.500,0.410
139.000,2.604,6.239,0.230,0.800,5.050,152.000,0.200,0.180
1805.000,2.387,6.670,0.360,0.800,4.190,223.000,0.100,0.140
2941.000,2.585,6.507,0.260,0.400,4.010,119.000,1.100,1.190
1628.000,2.680,5.869,0.290,1.300,4.890,104.000,0.400,0.080
31.000,2.505,6.413,0.430,0.100,4.740,29.000,1.000,0.020
266.000,2.480,6.630,0.310,1.600,4.460,272.000,2.000,0.520
438.000,2.695,6.925,0.440,0.200,3.630,240.000,3.600,0.210
1350.000,2.884,6.750,0.240,0.000,3.120,61.000,2.000,0.190
1273.000,2.913,6.778,0.410,0.500,3.660,160.000,0.700,0.650
1458.000,2.652,6.768,0.280,0.200,2.340,123.000,3.900,0.450
1238.000,2.704,6.421,0.210,0.300,3.830,55.000,0.100,0.820
109.000,2.325,6.264,0.330,1.000,5.200,38.000,0.200,0.540
2368.000,2.584,5.847,0.340,1.200,4.210,354.000,0.600,0.490
8912.000,2.707,6.312,0.370,0.200,3.700,76.000,1.500,0.420
1507.000,2.549,6.182,0.280,0.200,4.130,62.000,0.600,0.750
1423.000,2.703,6.150,0.290,0.000,1.810,84.000,4.600,1.440
72.000,2.562,6.829,0.250,2.100,3.630,5.000,0.500,0.490
4718.000,2.754,6.547,0.230,0.600,4.960,30.000,1.000,0.350
1056.000,2.548,6.295,0.320,0.200,4.400,124.000,0.400,1.200
167.000,2.471,5.990,0.260,0.500,3.980,151.000,1.200,0.490
4043.000,2.638,6.257,0.360,2.100,4.840,230.000,2.600,0.320
1056.000,3.006,6.615,0.270,1.200,3.720,56.000,1.500,0.220
830.000,2.556,6.278,0.290,0.000,2.080,84.000,0.800,0.730
1683.000,2.470,5.903,0.230,0.000,3.270,126.000,0.900,0.440
1488.000,2.750,5.344,0.140,0.600,3.330,48.000,1.300,0.920
995.000,2.616,6.709,0.350,0.300,4.020,183.000,1.100,0.940
1262.000,2.630,6.286,0.110,0.700,1.630,181.000,3.900,1.090
1190.000,2.705,6.377,0.330,0.000,2.820,75.000,0.600,2.190
11337.000,2.643,6.477,0.240,1.000,5.130,217.000,0.200,0.240
1382.000,2.689,6.788,0.380,1.900,4.280,290.000,2.400,0.450
4249.000,2.490,5.795,0.260,0.500,4.300,320.000,0.400,0.750
8792.000,2.378,6.497,0.280,0.800,4.350,250.000,0.200,0.030
3030.000,2.590,5.928,0.310,0.400,4.970,81.000,0.200,0.190
1321.000,2.876,5.878,0.180,0.400,3.010,1.000,3.300,0.050
911.000,2.756,6.477,0.350,2.200,4.860,198.000,0.800,0.280
3889.000,2.680,5.650,0.160,0.100,4.350,194.000,1.500,0.370
2742.000,2.889,6.685,0.270,1.500,4.900,172.000,0.700,0.550
6864.000,2.536,5.869,0.300,0.700,4.080,127.000,0.700,0.490
1674.000,2.575,6.614,0.250,1.400,4.370,154.000,0.400,0.430
1296.000,2.659,5.823,0.250,0.600,5.410,9.000,0.800,0.540
77.000,2.704,6.722,0.250,0.400,3.440,288.000,2.200,0.510
1455.000,2.543,6.795,0.220,1.900,4.830,227.000,0.600,0.040
2912.000,2.732,6.303,0.120,0.400,1.300,229.000,2.400,1.380
3981.000,2.564,6.177,0.200,1.000,4.380,137.000,0.700,0.050
488.000,2.711,6.964,0.270,0.100,3.890,18.000,0.900,0.460
4552.000,2.570,5.593,0.220,1.100,1.590,47.000,1.800,0.180
1144.000,2.647,6.397,0.320,0.300,3.120,183.000,0.600,0.110
8835.000,2.558,5.983,0.280,1.000,2.960,85.000,0.300,0.000
170.000,2.273,6.043,0.270,0.200,3.720,143.000,1.200,0.310
1127.000,2.618,5.818,0.230,1.100,4.880,28.000,1.100,0.020
1324.000,2.550,6.624,0.170,0.300,3.770,243.000,1.800,0.990
1541.000,2.553,6.028,0.290,1.600,4.350,242.000,0.400,0.570
3703.000,2.614,5.839,0.310,0.500,4.150,261.000,0.100,0.110
1784.000,2.413,6.134,0.380,2.400,3.930,300.000,0.400,0.240
1589.000,2.651,6.175,0.210,0.700,3.180,75.000,1.300,1.610
3365.000,2.573,6.626,0.220,0.100,4.120,81.000,0.700,0.190
1494.000,2.726,6.244,0.210,1.000,4.490,229.000,0.400,0.890
3395.000,2.410,6.193,0.170,1.300,3.310,219.000,1.900,2.000
120.000,2.559,5.603,0.210,0.100,2.590,77.000,2.700,1.210
5945.000,2.251,6.164,0.150,0.300,0.370,101.000,2.000,1.350
7221.000,2.860,6.353,0.340,1.200,4.720,315.000,2.400,0.310
